"Name","Address","Industry","Type","Est. of Ownership","National ID","SIC Code"
"CHINA CONSTRUCTION BANK CORPORATION LONDON BRANCH","111 Old Broad Street, LONDON, EC2N 1AP, LONDON, ENGLAND","Services","Foreign Company","2014","FC032309 CRN","Business services (7389)"
"GLENCORE PLC","Queensway House, Hilgrove Street, St Helier, JERSEY, JE1 1ES, CHANNEL ISLANDS, ENGLAND","Finance, Insurance, and Real Estate","Corporation","2011","J107710 CRN","Holding company (6719)"
"MITSUBISHI CORPORATION","71 High Holborn, LONDON, WC1V 6EA, LONDON, ENGLAND","Services","Foreign Company","1992","FC022100 CRN","Business services (7389)"
"BANK OF CHINA LIMITED","1-2 Lothbury, LONDON, EC2R 7DB, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Foreign Company","1996","FC002851 CRN","National commercial bank (6021)"
"BANK OF AMERICA, NATIONAL ASSOCIATION","2 King Edward Street, LONDON, EC1A 1HQ, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Foreign Company","1931","FC002984 CRN","National commercial bank (6021)"
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","25 Bank Street Canary Wharf, LONDON, E14 5JP, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Foreign Company","1959","FC004891 CRN","National commercial bank (6021)"
"HSBC HOLDINGS PLC","8 Canada Square, LONDON, E14 5HQ, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Corporation","1959","00617987 CRN","Holding company (6719)"
"G4S LIMITED","46 Gillingham Street, LONDON, SW1V 1HU, LONDON, ENGLAND","Services","Corporation","2003","04992207 CRN","Detective/armored car services (7381)"
"TESCO PLC","Tesco House, Shire Park, Kestrel Way, WELWYN GARDEN CITY, AL7 1GA, HERTFORDSHIRE, ENGLAND","Retail Trade","Corporation","1947","00445790 CRN","Ret groceries (5411)"
"TESCO STORES LIMITED","Cirrus A, Shire Park Kestrel Way, WELWYN GARDEN CITY, AL7 1GA, HERTFORDSHIRE, ENGLAND","Retail Trade","Corporation","1919","00519500 CRN","Ret groceries (5411)"
"HSBC HOLDINGS PLC","8 Canada Square, LONDON, E14 5HQ, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Corporation","1959","00617987 CRN","Holding company (6719)"
"J SAINSBURY PLC","33 Holborn, LONDON, EC1N 2HT, LONDON, ENGLAND","Retail Trade","Corporation","1869","00185647 CRN","Ret groceries (5411)"
"ROYAL MAIL PLC","185 Farringdon Road, LONDON, EC1A 1AA, LONDON, ENGLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2001","08680755 CRN","U.S. Postal Service (4311)"
"GLENCORE PLC","Queensway House, Hilgrove Street, St Helier, JERSEY, JE1 1ES, CHANNEL ISLANDS, ENGLAND","Finance, Insurance, and Real Estate","Corporation","2011","J107710 CRN","Holding company (6719)"
"UNILEVER PLC","Unilever House, 100 Victoria Embankment, LONDON, EC4Y 0DY, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Corporation","1882","00041424 CRN","Holding company (6719)"
"ASDA GROUP LIMITED","Asda House, South Bank, Great Wilson Street, LEEDS, LS11 5AD, WEST YORKSHIRE, ENGLAND","Retail Trade","Corporation","1978","01396513 CRN","Ret family clothing (5651)"
"BROADSTREET GREAT WILSON EUROPE LIMITED","1 Bartholomew Lane, LONDON, EC2N 2AX, LONDON, ENGLAND","Finance, Insurance, and Real Estate","Corporation","2002","04521152 CRN","Holding company (6719)"
"A.P. Møller Holding A/S","Esplanaden 50, KØBENHAVN, 1263, Hovedstaden, DENMARK","Services","Corporation","2013","25679288 CVR","Business services (7389)"
"A.P. Møller - Mærsk A/S","Esplanaden 50, KØBENHAVN, 1263, Hovedstaden, DENMARK","Finance, Insurance, and Real Estate","Corporation","1904","22756214 CVR","Holding company (6719)"
"Maersk A/S","Esplanaden 50, KØBENHAVN, 1263, Hovedstaden, DENMARK","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2013","32345794 CVR","Water freight transportation (4449)"
"Novo Nordisk Fonden","Tuborg Havnevej 19, HELLERUP, 2900, Hovedstaden, DENMARK","Services","Corporation","1999","10582989 CVR","Business services (7389)"
"Danske Bank A/S","Holmens Kanal 2-12, KØBENHAVN, 1060, Hovedstaden, DENMARK","Finance, Insurance, and Real Estate","Corporation","1999","61126228 CVR","National commercial bank (6021)"
"Novo Nordisk A/S","Novo Alle 1, BAGSVÆRD, 2880, Hovedstaden, DENMARK","Manufacturing","Corporation","1931","24256790 CVR","Mfg pharmaceutical preparations (2834)"
"DSV Panalpina A/S","Hovedgaden 630, HEDEHUSENE, 2640, Hovedstaden, DENMARK","Finance, Insurance, and Real Estate","Corporation","1976","58233528 CVR","Holding company (6719)"
"Vestas Wind Systems A/S","Hedeager 42, AARHUS, 8200, Midtjylland, DENMARK","Services","Corporation","1986","10403782 CVR","Commercial nonphysical research (8732)"
"Arla Foods A.m.b.a","Sønderhøj 14, VIBY, 8260, Midtjylland, DENMARK","Manufacturing","Cooperative","2000","25313763 CVR","Mfg creamery butter (2021)"
"ISS Global A/S","Buddingevej 197, SØBORG, 2860, Hovedstaden, DENMARK","Finance, Insurance, and Real Estate","Corporation","1998","21408395 CVR","Holding company (6719)"
"Bygma A/S","Transformervej 12, SØBORG, 2860, Hovedstaden, DENMARK","Wholesale Trade","Corporation","1976","55930317 CVR","Whol construction materials (5039)"
"Fakta A/S","Roskildevej 65, ALBERTSLUND, 2620, Hovedstaden, DENMARK","Retail Trade","Corporation","1987","11517498 CVR","Ret groceries (5411)"
"Ørsted Wind Power A/S","Kraftværksvej 53, C/O Ørsted A/S, FREDERICIA, 7000, Syddanmark, DENMARK","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2008","31849292 CVR","Electric services (4911)"
"Grundfos A/S","Poul Due Jensens Vej 7, BJERRINGBRO, 8850, Midtjylland, DENMARK","Manufacturing","Corporation","1957","37499919 CVR","Mfg general industrial machinery (3569)"
"Linak A/S","Smedevænget 8, NORDBORG, 6430, Syddanmark, DENMARK","Manufacturing","Corporation","1980","66365328 CVR","Mfg motors/generators (3621)"
"NCC Danmark A/S","Tobaksvejen 2A, SØBORG, 2860, Hovedstaden, DENMARK","Construction","Corporation","1985","69894011 CVR","Operative builders (1531)"
"DFDS A/S","Sundkrogsgade 11, KØBENHAVN, 2100, Hovedstaden, DENMARK","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1999","14194711 CVR","Water passenger transportation (4489)"
"Legoland ApS","Åstvej 10, BILLUND, 7190, Syddanmark, DENMARK","Services","Corporation","1973","36887613 CVR","Amusement park (7996)"
"DSB Vedligehold A/S","Telegade 2, TAASTRUP, 2630, Hovedstaden, DENMARK","Services","Corporation","2010","32788742 CVR","Repair services (7699)"
"Beierholm, Statsautoriseret Revisionspartnerselskab","Voergårdvej 2, AALBORG, 9200, Nordjylland, DENMARK","Services","Partnership Of Unknown Type","2010","32895468 CVR","Accounting/auditing/bookkeeping (8721)"
"P/F Bakkafrost Farming","Bakkavegur 8, Glyvrar, 625, Færøerne, FAROE ISLANDS","Agriculture, Forestry, and Fishing","Corporation","1998","1008 Skrásetingar-nr","Fish hatchery/preserve (0921)"
"P/F Havsbrún","Bakkavegur 8, Glyvrar, 625, Færøerne, FAROE ISLANDS","Finance, Insurance, and Real Estate","Corporation","1970","155 Skrásetingar-nr","Holding company (6719)"
"Elfilaged Sev I/S","Landav. 92, TORSHAVN, 100, F?r?erne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Partnership Of Unknown Type","1946","","Electric services (4911)"
"P/F Effo","Ódinshædd 3, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Mining","Corporation","1972","180 Skrásetingar-nr","Crude petroleum/natural gas production (1311)"
"P/F Smyril-Line","Yviri við Strond 1, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1998","544 Skrásetingar-nr","Water freight transportation (4449)"
"P/F Vardin","Gardabrekka 4, Sydrugøta, 513, Færøerne, FAROE ISLANDS","Agriculture, Forestry, and Fishing","Corporation","1998","931 Skrásetingar-nr","Marine products catching (0919)"
"P/F Magn","Vestara Bryggja 10, TORSHAVN, 110, F røerne, FAROE ISLANDS","Wholesale Trade","Corporation","1973","200 Skrásetingar-nr","Whol petroleum products (5172)"
"P/F Luna","a Futakletti 1, Gøta, 360, Færøerne, FAROE ISLANDS","Agriculture, Forestry, and Fishing","Corporation","1998","2258 Skrásetingar-nr","Fish hatchery/preserve (0921)"
"P/F Faroe Ship","Eystara Bryggja, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Finance, Insurance, and Real Estate","Corporation","2004","3852 Skrásetingar-nr","Holding company (6719)"
"P/F S.M.S.","Á Trapputrøðni, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Retail Trade","Corporation","1983","207 Skrásetingar-nr","Ret family clothing (5651)"
"Landssjukrahusio Dronning Alexandrines Hospital.","J C Svabosgøta 45, Tórshavn, 100, Færøerne, FAROE ISLANDS","Unknown industry","Unknown Type","1923","","Non classified establishment (9999)"
"Elfelagid Sev","Landavegur 92, Tórshavn, 110, Færøerne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1998","","Electric services (4911)"
"P/F S.M.S.","Á Trapputrøðni, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Retail Trade","Corporation","1983","207 Skrásetingar-nr","Ret family clothing (5651)"
"P/F Thor","Bryggjan 5, Hosvik, 420, Færøerne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1994","2373 Skrásetingar-nr","Freight transportation arrangement (4731)"
"P/F Banknordik","Oknarvegur 5, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Finance, Insurance, and Real Estate","Corporation","1998","10 Skrásetingar-nr","National commercial bank (6021)"
"Postverk Føroya","Odinshædd 2, Tórshavn, 100, Færøerne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1976","","U.S. Postal Service (4311)"
"P/F P.P. Faroe Pelagic","a Langasandi 28, Kollafjørdur, 410, Færøerne, FAROE ISLANDS","Unknown industry","Corporation","2001","3263 Skrásetingar-nr","Non classified establishment (9999)"
"P/F Betri Banki","Yviri Vid Strond 2, TORSHAVN, 100, Færøerne, FAROE ISLANDS","Finance, Insurance, and Real Estate","Corporation","2010","5534 Skrásetingar-nr","National commercial bank (6021)"
"P/F Sandoy Seafood","Tormansvegur 6, Skopun, 240, Færøerne, FAROE ISLANDS","Wholesale Trade","Corporation","1998","2648 Skrásetingar-nr","Whol fish/seafood (5146)"
"P/F Smyril-Line","Yviri við Strond 1, TORSHAVN, 110, Færøerne, FAROE ISLANDS","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1998","544 Skrásetingar-nr","Water freight transportation (4449)"
"Fortum Oyj","Keilalahdentie 2, ESPOO, 02150, UUSIMAA, FINLAND","Services","Corporation","1998","14636114 Y-tunnus","Business services (7389)"
"Nokia Oyj","Karakaari 7, ESPOO, 02610, UUSIMAA, FINLAND","Services","Corporation","1896","01120389 Y-tunnus","Business services (7389)"
"Nokia Solutions and Networks Oy","Karakaari 7, ESPOO, 02610, UUSIMAA, FINLAND","Manufacturing","Corporation","2006","20584306 Y-tunnus","Mfg electronic computers (3571)"
"Neste Oyj","Keilaranta 21, ESPOO, 02150, UUSIMAA, FINLAND","Manufacturing","Corporation","2003","18523029 Y-tunnus","Petroleum refiner (2911)"
"Kesko Oyj","Työpajankatu 12, HELSINKI, 00580, UUSIMAA, FINLAND","Wholesale Trade","Corporation","1941","01098628 Y-tunnus","Whol non durable goods (5199)"
"KONE Oyj","Keilasatama 3, ESPOO, 02150, UUSIMAA, FINLAND","Manufacturing","Corporation","2004","19274001 Y-tunnus","Mfg industrial trucks/tractors (3537)"
"UPM-Kymmene Oyj","Alvar Aallon katu 1, HELSINKI, 00100, UUSIMAA, FINLAND","Manufacturing","Corporation","1996","10410900 Y-tunnus","Paper mill (2621)"
"Stora Enso Oyj","Kanavaranta 1, HELSINKI, 00160, UUSIMAA, FINLAND","Manufacturing","Corporation","1996","10390508 Y-tunnus","Paper mill (2621)"
"Suomen Osuuskauppojen Keskuskunta","Fleminginkatu 34, HELSINKI, 00510, UUSIMAA, FINLAND","Wholesale Trade","Cooperative","1904","01163231 Y-tunnus","Whol non durable goods (5199)"
"Outokumpu Oyj","Salmisaarenranta 11, HELSINKI, 00180, UUSIMAA, FINLAND","Finance, Insurance, and Real Estate","Corporation","1932","02152542 Y-tunnus","Holding company (6719)"
"ABELEE Oy","Nyyrikintie 17A, HELSINKI, 00610, UUSIMAA, FINLAND","Wholesale Trade","Corporation","2005","19833133 Y-tunnus","Whol piece goods/notions (5131)"
"Malux Finland Oy","Työpajatie 13A, PORVOO, 06150, Itä-Uusimaa, FINLAND","Wholesale Trade","Corporation","1979","02513301 Y-tunnus","Whol electrical equipment (5063)"
"Seure Henkilöstöpalvelut Oy","Käenkuja 1B, HELSINKI, 00500, UUSIMAA, FINLAND","Services","Corporation","1990","08004153 Y-tunnus","Help supply services (7363)"
"Tampereen korkeakoulusäätiö sr","Kalevantie 4, TAMPERE, 33100, PIRKANMAA, FINLAND","Services","Non Profit Organization","2017","28445618 Y-tunnus","College/university (8221)"
"Posti Palvelut Oy","Postintaival 7A, HELSINKI, 00230, UUSIMAA, FINLAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2017","28304284 Y-tunnus","U.S. Postal Service (4311)"
"Mitac Oy","Kalastajanmäki 2E 51, ESPOO, 02230, UUSIMAA, FINLAND","Manufacturing","Corporation","1994","15048656 Y-tunnus","Periodicals-publishing/printing (2721)"
"Hannupalva Oy","Leankuja 6F, KAUNIAINEN, 02700, Uusimaa, FINLAND","Finance, Insurance, and Real Estate","Corporation","2011","24230388 Y-tunnus","Security/commodity service (6289)"
"RTK-Palvelu Oy","Papinhaankatu 8, RAUMA, 26100, SATAKUNTA, FINLAND","Services","Corporation","2014","26593238 Y-tunnus","Repair services (7699)"
"Teknologian tutkimuskeskus VTT Oy","Tekniikantie 21, ESPOO, 02150, UUSIMAA, FINLAND","Services","Corporation","2014","26473754 Y-tunnus","Commercial physical research (8731)"
"Palmia Oy","Läkkisepäntie 23, HELSINKI, 00620, UUSIMAA, FINLAND","Finance, Insurance, and Real Estate","Corporation","2014","26537623 Y-tunnus","Real estate agent/manager (6531)"
"Icelandair Group hf.","Reykjavikurflugvelli, REYKJAVIK, 101, ICELAND","Finance, Insurance, and Real Estate","Corporation","2005","6312051780 Kennitala","Holding company (6719)"
"Marel hf.","Austurhrauni 9, Gardabae, 210, ICELAND","Manufacturing","Corporation","1990","6204830369 Kennitala","Mfg food products machinery (3556)"
"Icelandair ehf.","Reykjavikurflugvelli, REYKJAVIK, 101, ICELAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2002","4612023490 Kennitala","Air courier services (4513)"
"Alcoa Fjardaal sf.","Hrauni 1, Reydarfjordur, 731, ICELAND","Services","Partnership Of Unknown Type","2003","5203034210 Kennitala","Amusement/recreation services (7999)"
"Eimskipafelag Islands hf.","Sundabakka 2, REYKJAVIK, 104, ICELAND","Finance, Insurance, and Real Estate","Corporation","2009","6904090460 Kennitala","Holding company (6719)"
"Islandsbanki hf.","Hagasmara 3, Kopavogi, 201, ICELAND","Finance, Insurance, and Real Estate","Corporation","2008","4910080160 Kennitala","Misc business credit institutions (6159)"
"Hagar hf.","Hagasmara 1, Kopavogi, 201, ICELAND","Retail Trade","Corporation","2003","6702032120 Kennitala","Ret groceries (5411)"
"Samherji hf.","Glerargotu 30, AKUREYRI, 600, ICELAND","Finance, Insurance, and Real Estate","Corporation","1997","6102973079 Kennitala","Holding company (6719)"
"Nordural Grundartangi ehf.","Grundartanga, Akranesi, 301, ICELAND","Manufacturing","Corporation","1997","5702972609 Kennitala","Primary aluminum producer (3334)"
"Ossur hf.","Grjothalsi 5, REYKJAVIK, 110, ICELAND","Manufacturing","Corporation","1990","5602710189 Kennitala","Mfg dental equipment/supplies (3843)"
"Reykjavikurborg","Center Reykjavik, Borgartún 12-14, REYKJAVIK, 101, ICELAND","Public Sector","Government Body","","5302697609 Kennitala","General government (9199)"
"Marel hf.","Austurhrauni 9, Gardabae, 210, ICELAND","Manufacturing","Corporation","1990","6204830369 Kennitala","Mfg food products machinery (3556)"
"Icelandair Group hf.","Reykjavikurflugvelli, REYKJAVIK, 101, ICELAND","Finance, Insurance, and Real Estate","Corporation","2005","6312051780 Kennitala","Holding company (6719)"
"Landspitali","Eiriksgotu 5, REYKJAVIK, 101, ICELAND","Services","Government Body","2000","5003002130 Kennitala","General hospital (8062)"
"Icelandair ehf.","Reykjavikurflugvelli, REYKJAVIK, 101, ICELAND","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2002","4612023490 Kennitala","Air courier services (4513)"
"Landspitalinn","Eiriksgotu 5, REYKJAVIK, 101, ICELAND","Services","Government Body","1930","7101692689 Kennitala","Amusement/recreation services (7999)"
"Alvogen ehf.","Smaratorgi 3, Kopavogi, 201, ICELAND","Wholesale Trade","Corporation","2005","4401053350 Kennitala","Whol drugs/sundries (5122)"
"Ossur hf.","Grjothalsi 5, REYKJAVIK, 110, ICELAND","Manufacturing","Corporation","1990","5602710189 Kennitala","Mfg dental equipment/supplies (3843)"
"Velsmidja Arna Jons ehf","Smidjugotu 6, Hellissandi, 360, ICELAND","Services","Corporation","1984","5012840769 Kennitala","Repair services (7699)"
"HAUKABERG H F","66 Smid Juvegur, KOPAVOGUR, ICELAND","Unknown industry","Unknown Type","1942","","Non classified establishment (9999)"
"Viessmann Refrigeration Systems AS","Borgeskogen 15, Stokke, 3160, VESTFOLD, NORWAY","Wholesale Trade","Corporation","1980","916696795 Orgnr","Whol industrial equipment (5084)"
"Equinor ASA","Forusbeen 50, Stavanger, 4035, ROGALAND, NORWAY","Mining","Corporation","1972","923609016 Orgnr","Crude petroleum/natural gas production (1311)"
"Axis-shield AS","Kjelsåsveien 161, Oslo, 0884, OSLO, NORWAY","Services","Corporation","1984","937237502 Orgnr","Noncommercial research organization (8733)"
"Norsk Hydro ASA","Drammensveien 264, Oslo, 0283, OSLO, NORWAY","Manufacturing","Corporation","1905","914778271 Orgnr","Primary aluminum producer (3334)"
"Telenor ASA","Snarøyveien 30, Fornebu, 1360, VIKEN, NORWAY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2000","982463718 Orgnr","Telephone communications (4813)"
"Høyer Odda AS","Vorravegen 72, Odda, 5750, HORDALAND, NORWAY","Construction","Corporation","1986","939685154 Orgnr","Operative builders (1531)"
"Yara International ASA","Drammensveien 131, Oslo, 0277, OSLO, NORWAY","Manufacturing","Corporation","2003","986228608 Orgnr","Mfg nitrogenous fertilizers (2873)"
"Norgesgruppen ASA","Drammensveien 144, Oslo, 0277, OSLO, NORWAY","Retail Trade","Corporation","1963","819731322 Orgnr","Ret groceries (5411)"
"Joh Johannson Handel AS","Filipstadveien 11, Oslo, 0250, OSLO, NORWAY","Wholesale Trade","Corporation","2018","921979819 Orgnr","Whol general groceries (5141)"
"Helse Sør-øst Rhf","Parkgata 36, Hamar, 2317, HEDMARK, NORWAY","Public Sector","Non Profit Organization","2007","991324968 Orgnr","Administrative public health programs (9431)"
"Bergen Kommune","Rådhusgaten 10, Bergen, 5014, HORDALAND, NORWAY","Public Sector","Local Government Body","1995","964338531 Orgnr","General government (9199)"
"Oslo Kommune Utdanningsetaten","Grensesvingen 6, Oslo, 0663, OSLO, NORWAY","Public Sector","Unknown Type","1997","976820037 Orgnr","Administrative public health programs (9431)"
"Oslo Universitetssykehus Hf","Tårnbygget Kirkeveien 166, Oslo, 0450, OSLO, NORWAY","Services","Non Profit Organization","2008","993467049 Orgnr","General hospital (8062)"
"Trondheim Kommune","Munkegata 1, Trondheim, 7013, SØR-TRØNDELAG, NORWAY","Public Sector","Local Government Body","1995","942110464 Orgnr","General government (9199)"
"Forsvaret","Akershus Festning Glacisgata 1, Oslo, 0015, OSLO, NORWAY","Public Sector","Unknown Type","2003","986105174 Orgnr","National security (9711)"
"Equinor ASA","Forusbeen 50, Stavanger, 4035, ROGALAND, NORWAY","Mining","Corporation","1972","923609016 Orgnr","Crude petroleum/natural gas production (1311)"
"Stavanger Kommune","Øvre Kleivegate 15, Stavanger, 4005, ROGALAND, NORWAY","Public Sector","Local Government Body","1995","964965226 Orgnr","General government (9199)"
"Bærum Kommune","Rådhustorget 4, Sandvika, 1337, AKERSHUS, NORWAY","Public Sector","Local Government Body","1995","935478715 Orgnr","General government (9199)"
"Helse Bergen Hf","Jonas Lies vei 65, Bergen, 5021, HORDALAND, NORWAY","Services","Non Profit Organization","2001","983974724 Orgnr","General hospital (8062)"
"Kristiansand Kommune","Rådhusgata 18, Kristiansand S, 4611, VEST-AGDER, NORWAY","Public Sector","Local Government Body","2018","820852982 Orgnr","General government (9199)"
"AB Volvo","Amazonvägen 8, Göteborg, 418 78, VÄSTRA GÖTALAND, SWEDEN","Services","Corporation","1915","5560125790 Org.nr.","Business services (7389)"
"Geely Sweden Holdings AB","Göteborg, 400 70, VÄSTRA GÖTALAND, SWEDEN","Services","Corporation","2010","5568109010 Org.nr.","Business services (7389)"
"Volvo Car AB","Tr Hb3s, Avd 50090, Göteborg, 405 31, VÄSTRA GÖTALAND, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2010","5568108988 Org.nr.","Holding company (6719)"
"Telefon AB LM Ericsson","Torshamnsgatan 21, Kista, 164 40, STOCKHOLM, SWEDEN","Services","Corporation","1918","5560160680 Org.nr.","Business services (7389)"
"H & M Hennes & Mauritz AB","Mäster Samuelsgatan 46A, Stockholm, 111 57, STOCKHOLM, SWEDEN","Services","Corporation","1943","5560427220 Org.nr.","Business services (7389)"
"Volvo Personvagnar AB","Tr Hb3s, Volvo Torslandaverken, Göteborg, 405 31, VÄSTRA GÖTALAND, SWEDEN","Manufacturing","Corporation","1960","5560743089 Org.nr.","Mfg motor vehicle/car bodies (3711)"
"Skanska AB","Warfvinges väg 25, Stockholm, 112 51, STOCKHOLM, SWEDEN","Services","Corporation","1897","5560004615 Org.nr.","Business services (7389)"
"Vattenfall AB","Evenemangsgatan 13, Solna, 169 79, STOCKHOLM, SWEDEN","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1937","5560362138 Org.nr.","Electric services (4911)"
"ICA Gruppen AB","Kolonnvägen 20, Solna, 169 70, STOCKHOLM, SWEDEN","Services","Corporation","1946","5560482837 Org.nr.","Business services (7389)"
"Scania CV AB","Nyköpingsvägen 33-41, Södertälje, 151 32, STOCKHOLM, SWEDEN","Manufacturing","Corporation","1962","5560840976 Org.nr.","Mfg motor vehicle/car bodies (3711)"
"Scania AB","Nyköpingsvägen 33, Södertälje, 151 32, STOCKHOLM, SWEDEN","Finance, Insurance, and Real Estate","Corporation","1973","5561848564 Org.nr.","Holding company (6719)"
"Transcom TopCo AB","Stockholm, 104 30, STOCKHOLM, SWEDEN","Unknown industry","Corporation","2016","5590884499 Org.nr.","Non classified establishment (9999)"
"Toyota Industries Europe AB","Svarvargatan 8, Mjölby, 595 35, ÖSTERGÖTLAND, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2000","5565883534 Org.nr.","Holding company (6719)"
"Alfa Laval AB","Rudeboksvägen 1, Lund, 226 55, SKÅNE, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2000","5565878054 Org.nr.","Holding company (6719)"
"Verisure Topholding 2 AB","Nordenskiöldsgatan 11A, Malmö, 211 19, SKÅNE, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2016","5590860333 Org.nr.","Holding company (6719)"
"Landstingshuset i Stockholm AB","Stockholm, 104 22, STOCKHOLM, SWEDEN","Unknown industry","Corporation","1993","5564779378 Org.nr.","Non classified establishment (9999)"
"Unilabs Holding AB","Råsundavägen 12, Solna, 169 67, STOCKHOLM, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2007","5567225080 Org.nr.","Holding company (6719)"
"Ambea Vård & Omsorg AB","Evenemangsgatan 21, Solna, 169 79, STOCKHOLM, SWEDEN","Services","Corporation","2005","5566770896 Org.nr.","Management consulting services (8742)"
"Hilding Anders Holdings 3 AB","Neptunigatan 1, Malmö, 211 20, SKÅNE, SWEDEN","Finance, Insurance, and Real Estate","Corporation","2006","5567082622 Org.nr.","Holding company (6719)"
"Volvo Personvagnar AB","Tr Hb3s, Volvo Torslandaverken, Göteborg, 405 31, VÄSTRA GÖTALAND, SWEDEN","Manufacturing","Corporation","1960","5560743089 Org.nr.","Mfg motor vehicle/car bodies (3711)"
"Grand Holding LLC","31 Masis str., YEREVAN, 0061, ARMENIA","Finance, Insurance, and Real Estate","Corporation","2002","00070404 UNN","Holding company (6719)"
"SIL GROUP LIMITED LIABILITY COMPANY","62 1st lane Tigran-Mets avenue, YEREVAN, 375018, ARMENIA","Construction","Corporation","1989","2696","Nonresidential construction (1542)"
"SOFT CONSTRUCT CJSC","20, G. Hovsepyan str., YEREVAN, ARMENIA","Services","Corporation","2014","02629813 UNN","Custom computer programming (7371)"
"Zangezur Copper Molybdenum Combine, CJSC","18 Lernagortsneri str., Kajaran, 3309, ARMENIA","Mining","Corporation","1952","09400818 UNN","Copper ore mining (1021)"
"Gazprom Armenia CJSC","43 Tbilisyan Highway, YEREVAN, 0091, ARMENIA","Mining","Corporation","1997","00046317 UNN","Oil/gas field services (1389)"
"CITY, LLC","15/1, Ohanov, YEREVAN, ARMENIA","Retail Trade","Corporation","2018","01282006 UNN","Ret misc merchandise (5999)"
"Grand Candy, LLC","31 Masis str., YEREVAN, 0061, ARMENIA","Manufacturing","Corporation","2000","02226764 UNN","Mfg candy/confectionery (2064)"
"Electric Networks of Armenia CJSC","127 A. Armenakyan str.,, YEREVAN, 0047, ARMENIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1997","01520882 UNN","Electric services (4911)"
"TEGHOUT, CJSC","of. 2, 3 Lori str., Teghut, 1728, ARMENIA","Manufacturing","Corporation","2006","02700773 UNN","Primary copper producer (3331)"
"CENTRAL BANK OF ARMENIA","6 Vazgen Sargsyan street, YEREVAN, 0010, ARMENIA","Finance, Insurance, and Real Estate","Corporation","1993","02522053 UNN","State commercial bank (6022)"
"Return and Protection social-legal NGO","app 1, 39/12 Mashtots avenue, YEREVAN, 0009, ARMENIA","Services","Non Profit Organization","2011","01574655 UNN","Social services (8399)"
"Grand Holding LLC","31 Masis str., YEREVAN, 0061, ARMENIA","Finance, Insurance, and Real Estate","Corporation","2002","00070404 UNN","Holding company (6719)"
"Electric Networks of Armenia CJSC","127 A. Armenakyan str.,, YEREVAN, 0047, ARMENIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1997","01520882 UNN","Electric services (4911)"
"Gazprom Armenia CJSC","43 Tbilisyan Highway, YEREVAN, 0091, ARMENIA","Mining","Corporation","1997","00046317 UNN","Oil/gas field services (1389)"
"SIL GROUP LIMITED LIABILITY COMPANY","62 1st lane Tigran-Mets avenue, YEREVAN, 375018, ARMENIA","Construction","Corporation","1989","2696","Nonresidential construction (1542)"
"SOFT CONSTRUCT CJSC","20, G. Hovsepyan str., YEREVAN, ARMENIA","Services","Corporation","2014","02629813 UNN","Custom computer programming (7371)"
"Grand Candy, LLC","31 Masis str., YEREVAN, 0061, ARMENIA","Manufacturing","Corporation","2000","02226764 UNN","Mfg candy/confectionery (2064)"
"CITY, LLC","15/1, Ohanov, YEREVAN, ARMENIA","Retail Trade","Corporation","2018","01282006 UNN","Ret misc merchandise (5999)"
"Yerevan State Medical University after Mkhitar Heratsi","2 Koryun str., YEREVAN, 0025, ARMENIA","Services","Corporation","1920","01503448 UNN","College/university (8221)"
