name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
clorox,$20.62 b,usa,-16.75%,#935,0.58%,,$167.88
broadridge financial solutions,$20.61 b,usa,18.30%,#936,0.79%,💼 professional services💳 financial services,$176.84
aviva,$20.57 b,uk,23.64%,#937,0.00%,🏦 insurance,$5.44
tech mahindra,$20.52 b,india,73.34%,#938,-0.53%,,$21.13
firstrand,$20.49 b,south africa,22.39%,#939,-1.83%,🏦 banks💳 financial services,$3.64
symrise,$20.48 b,germany,12.02%,#940,0.00%,,$143.16
svenska handelsbanken,$20.48 b,sweden,10.42%,#941,-1.10%,,$10.40
akzonobel,$20.43 b,netherlands,6.74%,#942,1.20%,🧪 chemicals 🎨 paint & coating,$109.01
shionogi,$20.43 b,japan,39.45%,#943,-1.40%,💊 pharmaceuticals,$67.79
nvr,$20.40 b,usa,45.34%,#944,-0.10%,🏗 construction💳 financial services,"$5,858"
hindustan zinc,$20.35 b,india,51.02%,#945,-0.48%,,$4.82
viacomcbs,$20.35 b,usa,n/a,#946,0.51%,📰 media/press,$31.23
fox corporation,$20.33 b,usa,18.87%,#947,0.47%,📰 media/press,$34.31
krafton,$20.29 b,south korea,n/a,#948,2.19%,🎮 video games👩‍💻 tech,$414.58
citizens financial group,$20.28 b,usa,32.28%,#949,0.49%,💳 financial services🏦 banks,$47.60
teledyne,$20.28 b,usa,9.22%,#950,0.86%,,$434.80
raymond james,$20.25 b,usa,5.81%,#951,0.34%,,$98.27
moncler,$20.24 b,italy,43.36%,#952,-0.99%,,$74.72
cooper companies,$20.20 b,usa,19.22%,#953,0.36%,👓 glasses and contact lenses,$409.88
hewlett packard enterprise,$20.12 b,usa,26.79%,#954,1.04%,👩‍💻 tech,$15.54
china railway group,$20.10 b,china,13.76%,#955,-1.48%,🏗 construction,$0.51
afterpay,$20.00 b,australia,-1.99%,#956,-4.37%,💳 financial services,$68.63
ventas,$19.92 b,usa,0.44%,#957,0.34%,🏠 real estate,$49.92
upm-kymmene,$19.91 b,finland,13.59%,#958,-0.60%,,$37.35
entegris,$19.88 b,usa,58.59%,#959,0.05%,📟 semiconductors👩‍💻 tech,$146.72
ss&c technologies,$19.85 b,usa,7.62%,#960,0.30%,👩‍💻 software👩‍💻 tech,$78.08
mgm resorts,$19.85 b,usa,40.98%,#961,0.28%,🎰 gambling🏨 hotels entertainment🌴 travel,$42.33
diamondback energy,$19.84 b,usa,133.11%,#962,-0.74%,,$109.51
imperial brands,$19.83 b,uk,10.71%,#963,-0.54%,🚬 tobacco,$20.89
netapp,$19.82 b,usa,46.94%,#964,-0.15%,👩‍💻 software👩‍💻 tech,$89.18
m&t bank,$19.69 b,usa,18.81%,#965,0.54%,🏦 banks💳 financial services,$153.06
plug power,$19.65 b,usa,28.72%,#966,-0.93%,💧 hydrogen fuel cell🌞 renewable energy,$34.10
suzuki motor,$19.65 b,japan,-13.56%,#967,-0.28%,🚗 automakers 🏭 manufacturing,$40.47
caesars entertainment,$19.56 b,usa,26.51%,#968,0.78%,🎰 gambling entertainment,$91.52
otsuka holdings,$19.54 b,japan,-6.10%,#969,-1.09%,💊 pharmaceuticals,$36.04
darden restaurants,$19.54 b,usa,30.69%,#970,0.73%,🍔 restaurant chains🍴 food,$150.59
quest diagnostics,$19.48 b,usa,27.02%,#971,0.69%,,$158.81
bath & body works,$19.45 b,usa,n/a,#972,0.63%,🛍️ retail,$75.50
carlyle group,$19.41 b,usa,79.77%,#973,0.99%,,$54.46
domino's pizza,$19.33 b,usa,37.75%,#974,0.29%,🍕 pizza🍴 food🍔 restaurant chains,$531.85
tata steel,$19.32 b,india,93.13%,#975,0.27%,🔩 steel producers🔩 steel industry,$15.56
burlington stores,$19.25 b,usa,21.16%,#976,0.29%,🛍️ retail👚 clothing,$288.47
china steel,$19.24 b,taiwan,2.17%,#977,0.39%,🔩 steel producers🔩 steel industry,$1.88
nice,$19.23 b,israel,26.27%,#978,1.31%,👩‍💻 software👩‍💻 tech,$304.74
genuine parts company,$19.23 b,usa,36.99%,#979,0.63%,,$135.03
kb financial group,$19.22 b,south korea,15.37%,#980,0.46%,💳 financial services🏦 banks,$49.09
fifth third bank,$19.21 b,usa,-5.26%,#981,0.44%,🏦 banks💳 financial services,$27.47
daiwa house,$19.19 b,japan,2.20%,#982,-0.33%,🏗 construction,$29.34
wilmar,$19.13 b,singapore,-2.26%,#983,0.00%,,$3.03
snam,$19.13 b,italy,7.34%,#984,0.00%,,$5.85
qualtrics,$19.05 b,usa,n/a,#985,-0.42%,👩‍💻 software👩‍💻 tech,$33.52
principal,$19.05 b,usa,42.94%,#986,0.48%,🏦 insurance💰 investment💳 financial services,$71.88
hologic,$19.04 b,usa,4.68%,#987,0.74%,medical devices,$75.75
čez group,$18.97 b,czech republic,77.56%,#989,-1.81%,🔋 electricity🛢 oil&gas ⚡ energy,$35.44
brown & brown,$18.97 b,usa,48.26%,#990,0.19%,,$67.19
restaurant brands international,$18.93 b,canada,-3.13%,#991,0.71%,🍔 restaurant chains🍴 food,$59.82
take 2 interactive,$18.88 b,usa,-9.42%,#992,-1.54%,🎮 video games🕹️ esports entertainment👩‍💻 tech,$163.82
royal caribbean,$18.87 b,usa,-9.31%,#993,-0.80%,🌴 travel🛳 cruise lines,$74.10
hyundai mobis,$18.85 b,south korea,n/a,#994,1.24%,,$207.08
nissan,$18.82 b,japan,-3.21%,#995,-1.67%,🚗 automakers 🏭 manufacturing,$4.81
cincinnati financial,$18.82 b,usa,41.57%,#996,1.47%,🏦 insurance,$116.83
avangrid,$18.82 b,usa,7.00%,#997,-0.29%,,$48.61
chongqing changan,$18.79 b,china,-25.58%,#998,1.06%,🚗 automakers 🏭 manufacturing,$2.83
signature bank,$18.74 b,usa,148.31%,#999,-1.95%,,$309.20
insulet,$18.69 b,usa,10.10%,#1000,0.94%,medical devices,$271.03
lg electronics,$18.67 b,south korea,75.19%,#1001,0.88%,🔌 electronics👩‍💻 tech💻 tech hardware,$25.75
puma,$18.65 b,germany,19.66%,#1002,-0.45%,👟 footwear👚 clothing,$124.69
bio-techne,$18.63 b,usa,55.88%,#1003,0.88%,💊 pharmaceuticals,$474.32
powergrid corporation of india,$18.63 b,india,5.45%,#1003,-0.27%,🔋 electricity🛣️ infrastructure,$2.67
siemens energy,$18.58 b,germany,-8.04%,#1005,-0.74%,⚡ energy🔋 electricity,$25.91
banorte,$18.56 b,mexico,25.64%,#1007,-0.07%,💳 financial services,$6.44
jacobs engineering,$18.60 b,usa,29.59%,#1004,1.51%,,$144.30
surgutneftegas,$18.56 b,russia,11.65%,#1008,-1.90%,🛢 oil&gas ⚡ energy,$0.52
toast,$18.43 b,usa,n/a,#1013,-1.80%,👩‍💻 software👩‍💻 tech,$36.52
wan hai lines,$18.53 b,taiwan,375.97%,#1010,1.20%,transportation 🚢 maritime transportation 🚢 container shipping,$7.59
heico,$18.53 b,usa,10.15%,#1009,0.33%,🔌 electronics,$144.65
healthpeak properties,$18.43 b,usa,11.97%,#1014,0.15%,🏠 real estate💰 investment,$34.19
ubiquiti,$18.44 b,usa,13.24%,#1012,3.09%,🔌 electronics📞 networking hardware💻 tech hardware,$295.50
yonyou,$18.41 b,china,-16.75%,#1015,-1.46%,👩‍💻 software👩‍💻 tech,$5.63
akamai,$18.44 b,usa,7.17%,#1011,1.46%,👩‍💻 tech🖥️ internet👩‍💻 software🔒 it security,$113.55
nitori holdings,$18.39 b,japan,-10.30%,#1016,-1.57%,🛍️ retail,$163.05
swiss life,$18.36 b,switzerland,35.79%,#1017,0.26%,🏦 insurance,$594.65
omv,$18.35 b,austria,49.34%,#1018,-1.35%,🛢 oil&gas ⚡ energy,$55.34
wheaton precious metals,$18.26 b,canada,-0.22%,#1021,-0.49%,,$40.55
erste group bank,$18.31 b,austria,61.79%,#1019,-1.21%,🏦 banks💳 financial services,$45.17
hdfc life,$18.27 b,india,4.68%,#1020,0.23%,🏦 insurance,$9.03
charles river laboratories,$18.18 b,usa,48.56%,#1024,0.93%,🧬 biotech,$360.38
james hardie industries,$18.26 b,ireland,49.09%,#1022,0.69%,🧱 building materials,$41.04
ctbc financial holding,$18.25 b,taiwan,34.90%,#1023,0.19%,💳 financial services🏦 banks,$0.94
posco,$18.17 b,south korea,-0.13%,#1025,-2.69%,🔩 steel producers🔩 steel industry,$60.09
prada,$18.16 b,italy,32.71%,#1026,9.23%,⌚ luxury goods👚 clothing,$7.10
vici properties,$18.09 b,usa,11.99%,#1029,1.00%,🏠 real estate💰 investment,$28.78
link reit,$18.13 b,hong kong,-1.95%,#1028,-0.59%,💰 investment🏠 real estate 🏘️ reits,$8.67
severstal,$18.13 b,russia,35.08%,#1027,0.21%,,$21.65
cms energy,$18.05 b,usa,3.93%,#1032,0.27%,🔋 electricity ⚡ energy,$62.32
fleetcor,$18.05 b,usa,-16.89%,#1031,0.18%,💳 financial services,$222.35
chow tai fook,$18.07 b,hong kong,41.93%,#1030,-2.22%,🛍️ retail⌚ luxury goods,$1.81
udr apartments,$17.98 b,usa,47.17%,#1035,-0.26%,,$58.16
sumitomo,$18.03 b,japan,22.53%,#1033,0.28%,💰 investment,$14.43
western digital,$17.96 b,usa,12.19%,#1037,0.54%,🔌 electronics,$57.64
idex,$17.96 b,usa,21.03%,#1036,0.39%,,$236.27
power financial,$17.93 b,canada,1.14%,#1039,0.00%,,$19.52
fresenius medical care,$17.98 b,germany,-25.69%,#1034,-0.10%,🇩🇪 dax,$30.69
international paper,$17.94 b,usa,-6.80%,#1038,0.39%,📄 pulp and paper,$46.35
boston properties,$17.87 b,usa,14.26%,#1040,-0.34%,🏠 real estate,$114.43
qorvo,$17.87 b,usa,-0.51%,#1041,1.63%,📟 semiconductors👩‍💻 tech,$162.16
amcor,$17.85 b,switzerland,-0.43%,#1042,0.74%,,$11.65
nexon,$17.83 b,japan,-23.44%,#1043,-0.66%,🎮 video games,$19.85
toshiba,$17.82 b,japan,50.39%,#1044,0.43%,,$41.22
dynatrace,$17.80 b,usa,62.00%,#1045,-0.26%,👩‍💻 software👩‍💻 tech,$62.47
splunk,$17.75 b,usa,-27.28%,#1046,-1.17%,👩‍💻 software👩‍💻 tech,$111.83
avery dennison,$17.68 b,usa,37.46%,#1047,0.96%,,$213.59
camden property trust,$17.60 b,usa,74.59%,#1049,0.36%,,$172.25
nuance communications,$17.64 b,usa,28.27%,#1048,0.60%,👩‍💻 software👩‍💻 tech,$55.23
olaplex,$17.48 b,usa,n/a,#1057,0.19%,🛍 consumer goods,$26.98
rede d'or sao luiz,$17.53 b,brazil,n/a,#1052,1.74%,⚕️ healthcare 🏥 medical care facilities,$8.90
liberty media,$17.58 b,usa,15.74%,#1050,0.00%,📰 media/press entertainment,$49.00
robinhood,$17.51 b,usa,n/a,#1053,-4.34%,💳 financial services🖥️ internet👩‍💻 tech,$20.96
tsingtao,$17.56 b,china,7.93%,#1051,0.07%,🍷 alcoholic beverages🥤 beverages,$16.64
centerpoint energy,$17.49 b,usa,23.89%,#1055,1.02%,🔋 electricity ⚡ energy,$27.82
molina healthcare,$17.49 b,usa,40.75%,#1054,1.49%,⚕️ healthcare🏦 insurance,$299.64
mfhc,$17.49 b,taiwan,22.78%,#1056,0.99%,💳 financial services🏦 banks,$1.29
factset,$17.32 b,usa,33.81%,#1066,-0.54%,💳 financial services👩‍💻 software👩‍💻 tech,$460.18
standard chartered,$17.48 b,uk,-4.82%,#1058,-0.16%,🏦 banks💳 financial services,$567.79
celanese,$17.47 b,usa,21.50%,#1059,1.17%,🧪 chemicals,$160.48
sk telecom,$17.46 b,south korea,82.09%,#1060,0.50%,📡 telecommunication,$44.54
brookfield infrastructure partners,$17.44 b,bermuda,10.81%,#1061,-0.59%,,$57.17
repsol,$17.42 b,spain,9.57%,#1062,0.00%,🛢 oil&gas ⚡ energy,$11.71
bandai namco,$17.38 b,japan,-1.51%,#1063,-2.93%,,$79.14
brookfield property partners,$17.34 b,bermuda,20.32%,#1064,-0.27%,🏠 real estate,$18.59
carl zeiss meditec,$17.32 b,germany,56.28%,#1065,-1.17%,,$190.87
advantest,$17.29 b,japan,31.67%,#1067,-1.75%,,$89.19
trip.com,$17.26 b,china,-23.17%,#1069,-0.38%,🌴 travel🖥️ internet🌴 online travel👩‍💻 tech,$25.99
dish network,$17.18 b,usa,-10.99%,#1071,1.03%,📡 telecommunication,$32.49
novolipetsk steel,$17.22 b,russia,10.01%,#1070,0.16%,🔩 steel producers🔩 steel industry,$2.87
ringcentral,$17.17 b,usa,-45.07%,#1072,-1.32%,👩‍💻 tech🖥️ internet,$183.76
wabtec,$17.10 b,usa,19.71%,#1073,-0.01%,,$91.57
confluent,$17.26 b,usa,n/a,#1068,-2.42%,👩‍💻 software👩‍💻 tech,$65.28
coles group,$17.05 b,australia,-1.75%,#1074,0.06%,🛍️ retail,$12.78
freddie mac,$17.04 b,usa,-69.77%,#1075,2.72%,,$5.29
wpp,$16.98 b,uk,38.66%,#1076,0.44%,,$72.92
eisai,$16.94 b,japan,-9.26%,#1077,-1.94%,💊 pharmaceuticals,$59.11
arch capital,$16.86 b,bermuda,29.57%,#1080,0.48%,🏦 insurance,$43.68
lkq corporation,$16.88 b,usa,53.88%,#1078,1.15%,,$57.92
formosa chemicals & fibre,$16.88 b,taiwan,4.81%,#1079,-0.87%,🧪 chemicals,$2.89
coterra energy,$16.77 b,usa,173.95%,#1087,-0.96%,⚡ energy🛢 oil&gas,$20.62
markel,$16.85 b,usa,21.74%,#1081,0.42%,🏦 insurance💰 investment,"$1,233"
ally,$16.85 b,usa,44.08%,#1082,0.68%,🏦 banks💳 financial services,$48.64
masco,$16.81 b,usa,26.62%,#1083,0.67%,,$68.90
franklin resources,$16.77 b,usa,38.70%,#1088,0.51%,💰 investment,$33.43
china communications construction,$16.81 b,china,5.97%,#1084,-2.00%,👷 engineering,$1.23
cnp assurances,$16.81 b,france,62.94%,#1085,-0.14%,🏦 insurance,$24.50
nexi,$16.77 b,italy,-11.27%,#1089,-1.14%,,$16.13
wsp global,$16.76 b,canada,54.51%,#1090,0.89%,,$142.62
xp inc.,$16.78 b,brazil,-21.12%,#1086,0.37%,💳 financial services,$30.03
clarivate,$16.63 b,uk,n/a,#1093,-0.92%,👩‍💻 tech👩‍💻 software,$24.23
siemens gamesa,$16.71 b,spain,-28.94%,#1091,0.87%,,$24.41
astra international,$16.69 b,indonesia,5.26%,#1092,-1.25%,,$0.41
textron,$16.58 b,usa,54.94%,#1096,0.99%,,$75.22
ppd,$16.61 b,usa,36.45%,#1094,0.00%,💊 pharmaceuticals,$47.28
campari,$16.60 b,italy,39.26%,#1095,0.15%,🍷 alcoholic beverages🥤 beverages,$14.69
air china,$16.53 b,china,10.70%,#1097,-0.47%,✈️ airlines🌴 travel,$1.34
continental resources,$16.42 b,usa,149.75%,#1102,-1.83%,,$44.94
ms&ad insurance,$16.50 b,japan,7.70%,#1098,-0.47%,🏦 insurance,$29.78
adevinta,$16.46 b,norway,-7.37%,#1099,-0.29%,🖥️ internet🛒 e-commerce👩‍💻 tech,$13.46
gbl,$16.43 b,belgium,19.17%,#1101,-0.51%,,$110.21
sociedad química y minera,$16.42 b,chile,22.12%,#1103,0.23%,🧪 chemicals,$57.49
aes,$16.40 b,usa,17.75%,#1104,0.20%,🔋 electricity ⚡ energy,$24.60
pembina pipeline,$16.38 b,canada,11.00%,#1105,-0.10%,,$29.63
10x genomics,$16.37 b,usa,-0.52%,#1106,2.08%,🧬 genomics🧬 biotech,$146.55
alfa laval,$16.36 b,sweden,62.09%,#1107,-0.20%,,$39.37
grupo elektra,$16.36 b,mexico,7.41%,#1108,1.72%,🛍️ retail,$66.64
shinhan financial group,$16.36 b,south korea,1.76%,#1109,-0.97%,,$31.53
poste italiane,$16.36 b,italy,32.05%,#1110,0.32%,📦 courier,$12.58
biomérieux,$16.35 b,france,-3.89%,#1111,2.07%,,$135.75
quanta services,$16.35 b,usa,55.49%,#1112,0.95%,,$114.74
publicis groupe,$16.34 b,france,44.67%,#1113,-0.14%,🇫🇷 cac 40,$65.53
royalty pharma,$16.30 b,uk,-14.61%,#1114,-0.55%,💊 pharmaceuticals🧬 biotech,$37.96
obic,$16.29 b,japan,-5.41%,#1115,-0.62%,,$183.74
banco do brasil,$16.28 b,brazil,-11.40%,#1116,-2.18%,🏦 banks💳 financial services,$5.58
ocado,$16.28 b,uk,-32.37%,#1116,0.49%,,$43.35
solaredge,$16.30 b,israel,15.31%,#1113,-0.94%,,$310.42
sofina,$16.25 b,belgium,61.27%,#1119,-1.02%,,$482.27
amundi,$16.19 b,france,6.76%,#1121,-0.07%,,$80.19
knorr-bremse,$16.20 b,germany,n/a,#1120,-0.87%,🚘 automotive suppliers,$99.95
ajinomoto,$16.17 b,japan,53.22%,#1122,-1.10%,🍴 food,$29.94
the saudi british bank,$16.15 b,saudi arabia,18.00%,#1123,1.72%,,$7.86
george weston,$16.15 b,canada,37.20%,#1124,0.69%,,$109.37
ntpc limited,$16.13 b,india,28.23%,#1125,0.08%,,$1.66
ase group,$16.06 b,taiwan,32.80%,#1126,-0.13%,📟 semiconductors👩‍💻 tech,$7.44
goodrx,$16.00 b,usa,8.10%,#1129,-2.03%,👨‍⚕️ telehealth⚕️ healthcare🖥️ internet,$40.13
marubeni,$16.01 b,japan,61.43%,#1128,-0.62%,,$9.22
trex,$16.03 b,usa,77.57%,#1127,1.68%,,$139.33
wharf reic,$15.95 b,hong kong,14.84%,#1130,-0.97%,🏠 real estate💰 investment,$5.26
first quantum minerals,$15.90 b,canada,49.17%,#1131,-1.48%,,$23.02
rea group,$15.88 b,australia,12.06%,#1132,0.13%,🖥️ internet,$120.20
samsung heavy industries,$15.86 b,south korea,-37.73%,#1133,0.64%,,$199.03
eastman chemical,$15.80 b,usa,11.62%,#1136,1.14%,🧪 chemicals,$117.58
telia company,$15.81 b,sweden,-7.06%,#1135,0.00%,📡 telecommunication,$3.87
rollins,$15.82 b,usa,-40.89%,#1134,-0.26%,,$32.17
divis laboratories,$15.77 b,india,22.86%,#1137,-1.54%,,$59.42
zillow,$15.67 b,usa,-48.92%,#1142,-0.88%,🏠 real estate🖥️ internet👩‍💻 tech,$60.70
new china life insurance,$15.75 b,china,-34.72%,#1138,-0.61%,🏦 insurance,$6.18
nn group,$15.72 b,netherlands,31.16%,#1139,0.56%,,$51.15
kanzhun,$15.60 b,china,n/a,#1151,4.49%,💼 staffing & employment services,$38.15
china merchants shekou industrial zone,$15.70 b,china,-4.74%,#1141,-3.44%,,$1.98
atlantia,$15.70 b,italy,10.50%,#1140,-0.06%,,$19.18
hashicorp,$15.24 b,usa,n/a,#1174,0.01%,👩‍💻 software👩‍💻 tech,$85.20
nordson,$15.66 b,usa,34.10%,#1143,1.22%,,$269.49
ceridian,$15.62 b,usa,7.52%,#1145,-0.85%,👩‍💻 software👩‍💻 tech,$103.26
argenx,$15.58 b,netherlands,11.09%,#1152,-1.50%,💊 pharmaceuticals,$295.54
athene holding,$15.61 b,bermuda,86.62%,#1149,0.59%,,$81.25
equity lifestyle properties,$15.63 b,usa,41.43%,#1144,0.18%,,$85.05
yang ming,$15.62 b,taiwan,903.91%,#1146,-3.50%,transportation 🚢 maritime transportation 🚢 container shipping,$4.47
bolloré,$15.61 b,france,42.49%,#1148,0.17%,,$5.30
cp all,$15.60 b,thailand,-5.26%,#1150,-0.85%,,$1.74
pidilite,$15.58 b,india,39.63%,#1153,2.78%,,$30.66
biomarin pharmaceutical,$15.62 b,usa,12.42%,#1147,-0.62%,,$85.09
viatris,$15.49 b,usa,n/a,#1156,1.79%,💊 pharmaceuticals🧬 biotech,$12.82
sbi life insurance,$15.51 b,india,35.36%,#1154,1.23%,🏦 insurance,$15.50
terna,$15.48 b,italy,11.23%,#1157,0.56%,,$7.71
china southern airlines,$15.49 b,china,n/a,#1155,0.17%,✈️ airlines🌴 travel,$29.35
rexnord,$15.46 b,usa,71.01%,#1158,0.90%,,$64.95
uniper,$15.44 b,germany,28.12%,#1159,0.00%,,$42.28
lufax,$15.30 b,china,-55.83%,#1168,-0.56%,👩‍💻 software👩‍💻 tech💳 financial services🖥️ internet,$6.22
conagra brands,$15.43 b,usa,-10.75%,#1160,0.97%,🍴 food,$32.18
bank jago,$15.37 b,indonesia,348.01%,#1161,1.43%,🏦 banks💳 financial services,$1.11
vedanta,$15.36 b,india,117.11%,#1162,-1.32%,⛏️ mining,$16.50
toyota tsusho,$15.36 b,japan,29.17%,#1164,0.92%,,$43.67
copel,$15.36 b,brazil,-58.66%,#1163,0.99%,,$5.62
masimo,$15.33 b,usa,3.32%,#1165,0.37%,⚕️ healthcare,$277.79
teladoc health,$15.16 b,usa,-50.60%,#1179,-0.24%,⚕️ healthcare👩‍💻 tech👨‍⚕️ telehealth🖥️ internet,$94.75
swatch,$15.31 b,switzerland,19.88%,#1167,-0.21%,,$301.44
evergy,$15.31 b,usa,19.71%,#1166,0.56%,🚰 utility companies🔋 electricity ⚡ energy,$66.81
aluminum corporation of china,$15.29 b,china,53.51%,#1170,1.07%,aluminum,$13.69
woodside petroleum,$15.28 b,australia,-3.68%,#1171,-0.72%,🛢 oil&gas ⚡ energy,$15.77
worldline,$15.29 b,france,-33.09%,#1169,-1.34%,💳 financial services🇫🇷 cac 40,$54.59
tdk,$15.26 b,japan,-68.34%,#1172,-0.33%,🔌 electronics,$40.28
sk innovation,$15.26 b,south korea,-4.81%,#1173,2.72%,🛢 oil&gas ⚡ energy,$111.80
larsen & toubro infotech,$15.23 b,india,101.98%,#1175,0.33%,💼 professional services🖥️ it services,$87.28
rakuten,$15.20 b,japan,12.86%,#1176,-1.89%,🛒 e-commerce🖥️ internet👩‍💻 tech,$10.08
grasim industries,$15.18 b,india,87.20%,#1177,1.54%,,$23.06
china railway construction,$15.17 b,china,-6.39%,#1178,-1.42%,🚂 railways🏗 construction,$1.20
ginkgo bioworks,$15.00 b,usa,n/a,#1188,2.02%,🧬 biotech💊 pharmaceuticals🧬 genomics,$10.09
kyowa kirin,$15.15 b,japan,14.04%,#1180,-1.38%,💊 pharmaceuticals,$28.22
sompo holdings,$15.09 b,japan,19.37%,#1181,-0.40%,🏦 insurance,$43.45
omnicom,$15.05 b,usa,8.44%,#1183,1.49%,💼 professional services,$70.83
china unicom,$15.06 b,china,n/a,#1182,-0.52%,📡 telecommunication,$0.49
teleflex,$15.00 b,usa,-16.00%,#1187,-0.01%,medical devices,$320.31
xero,$15.01 b,new zealand,-4.20%,#1185,0.00%,👩‍💻 software👩‍💻 tech,$100.00
stora enso,$15.00 b,finland,11.00%,#1186,0.00%,📄 pulp and paper,$18.80
builders firstsource,$15.03 b,usa,119.14%,#1184,0.99%,🧱 building materials,$78.52
aercap,$14.91 b,ireland,44.16%,#1192,0.94%,✈️ aircraft leasing,$60.90
sonic healthcare,$14.97 b,australia,32.36%,#1189,-1.62%,,$31.22
secom,$14.96 b,japan,-19.33%,#1190,-0.92%,,$68.58
otp bank,$14.94 b,hungary,38.74%,#1191,-0.65%,🏦 banks💳 financial services,$53.49
nippon steel,$14.91 b,japan,35.44%,#1193,-0.35%,🔩 steel producers🔩 steel industry,$16.20
ck infrastructure,$14.90 b,hong kong,15.26%,#1194,0.98%,🛣️ infrastructure,$5.92
tatneft,$14.90 b,russia,1.00%,#1195,0.00%,,$40.40
indian oil,$14.90 b,india,27.41%,#1196,0.29%,🛢 oil&gas ⚡ energy,$1.58
bureau veritas,$14.87 b,france,18.83%,#1197,0.00%,,$32.81
jbs,$14.85 b,brazil,53.63%,#1198,0.43%,🍴 food,$6.26
itaúsa,$14.84 b,brazil,-16.69%,#1199,0.51%,,$1.77
incyte,$14.84 b,usa,-17.90%,#1200,1.10%,,$67.20
silergy,$14.79 b,china,102.25%,#1201,-2.67%,📟 semiconductors👩‍💻 tech💻 tech hardware,$157.67
check point software,$14.79 b,israel,-8.67%,#1202,0.92%,👩‍💻 software👩‍💻 tech🔒 it security,$111.39
kikkoman,$14.78 b,japan,35.60%,#1203,-2.56%,🍴 food,$77.12
w. p. carey,$14.77 b,usa,13.71%,#1204,0.44%,,$79.31
orient overseas container line,$14.77 b,hong kong,198.27%,#1205,1.22%,transportation 🚢 container shipping 🚢 maritime transportation,$22.37
hellofresh,$14.74 b,germany,56.21%,#1206,-4.03%,,$84.91
advance auto parts,$14.73 b,usa,48.54%,#1207,0.72%,,$236.32
evonik industries,$14.71 b,germany,-1.39%,#1208,0.00%,,$31.21
danske bank,$14.67 b,denmark,10.09%,#1209,0.03%,🏦 banks💳 financial services,$17.20
hydro one,$14.67 b,canada,6.81%,#1210,0.42%,,$24.53
teck resources,$14.66 b,canada,53.67%,#1211,-0.65%,⛏️ mining,$27.48
jerónimo martins,$14.65 b,portugal,39.28%,#1212,1.89%,🛍️ retail,$22.79
alliant energy,$14.62 b,usa,11.17%,#1213,0.49%,🚰 utility companies🔋 electricity ⚡ energy,$58.43
swire properties,$14.59 b,hong kong,-16.70%,#1214,-1.22%,🏠 real estate,$2.49
zomato,$14.58 b,india,n/a,#1215,-3.90%,🥡 food delivery🍴 food🖥️ internet,$1.85
norsk hydro,$14.56 b,norway,63.74%,#1216,0.57%,,$7.10
sg holdings,$14.56 b,japan,-9.27%,#1217,0.08%,,$22.93
amec,$14.51 b,china,-0.52%,#1218,-1.32%,📟 semiconductors👩‍💻 tech,$23.56
jde peet's,$14.51 b,netherlands,-21.88%,#1219,-0.39%,🥤 beverages,$28.91
interpublic group,$14.49 b,usa,53.92%,#1220,0.93%,➡️ advertising,$36.82
liberty global,$14.49 b,uk,24.44%,#1221,0.00%,📡 telecommunication,$27.50
loews corporation,$14.49 b,usa,31.23%,#1222,0.87%,,$57.14
kion group,$14.47 b,germany,41.68%,#1223,-0.45%,,$110.46
siam cement,$14.46 b,thailand,6.64%,#1224,0.00%,cement🧱 building materials,$12.05
marketaxess,$14.45 b,usa,-32.74%,#1225,0.12%,💳 financial services,$380.23
shaw communications,$14.43 b,canada,61.33%,#1226,-0.37%,📡 telecommunication,$29.30
fortune brands home & security,$14.41 b,usa,25.32%,#1227,0.25%,,$106.19
telefonica brasil,$14.38 b,brazil,-3.39%,#1228,0.23%,📡 telecommunication,$8.57
smith & nephew,$14.38 b,uk,-20.02%,#1229,-0.03%,medical equipment,$32.70
fidelity national financial,$14.35 b,usa,37.86%,#1230,0.02%,🏦 insurance,$50.44
shinkin central bank,$14.35 b,japan,3.24%,#1231,0.25%,🏦 banks💳 financial services,"$2,139"
j.m. smucker company,$14.32 b,usa,10.60%,#1232,1.21%,🍴 food,$132.15
suez,$14.28 b,france,24.36%,#1233,-0.03%,♻️ waste & recycling,$22.33
albertsons,$14.25 b,usa,105.32%,#1234,0.00%,🛍️ retail,$30.51
kimco realty,$14.23 b,usa,55.32%,#1235,-0.41%,,$23.10
w. r. berkley,$14.23 b,usa,22.61%,#1236,1.00%,🏦 insurance,$80.58
ptc,$14.18 b,usa,7.52%,#1237,0.33%,👩‍💻 software💼 professional services👩‍💻 tech,$120.36
pultegroup,$14.16 b,usa,31.58%,#1238,1.05%,,$55.95
abiomed,$14.14 b,usa,17.29%,#1239,-0.38%,medical devices,$310.98
uni-president enterprises,$14.12 b,taiwan,5.35%,#1240,0.00%,🍴 food,$2.49
vodacom,$14.11 b,south africa,11.36%,#1241,0.00%,📡 telecommunication,$8.30
subaru,$14.09 b,japan,-1.44%,#1242,-1.30%,🚗 automakers,$18.38
mahindra & mahindra,$14.09 b,india,12.73%,#1243,1.01%,🚗 automakers,$11.34
sekisui house,$14.08 b,japan,15.73%,#1244,0.04%,🏗 construction,$20.86
suzano,$14.07 b,brazil,3.58%,#1245,-0.10%,,$10.41
shanghai airport,$14.06 b,china,-38.43%,#1246,-1.19%,🛫 airports,$7.30
