"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"ON SEMICONDUCTOR CORPORATION","1,135","5,255 Million USD","234 Million USD","13.459 Billion USD","USA","Semiconductors, Electronics, Technology","34,800","","","Nasdaq","http://www.nationalgrid.com/"
"HINDUSTAN ZINC","1,136","2,383 Million USD","953 Million USD","13.818 Billion USD","India","Mining, Zinc, Basic Materials","19,152","S&P BSE BASIC MATERIALS, S&P BSE METAL","","NSE, BSE","http://www.hzlindia.com/"
"ALLY FINANCIAL","1,137","6,961 Million USD","1,085 Million USD","13.332 Billion USD","USA","Banking Services, Financial Services","8,700","","","Frankfurt, NYSE","http://www.hzlindia.com/"
"SAUDI BRITISH BANK","1,138","6,954 Million USD","764 Million USD","13.545 Billion USD","Saudi Arabia","Banking Services, Financial Services","","","","Tadawul","http://www.hzlindia.com/"
"DOMINO'S PIZZA","1,139","4,117 Million USD","491 Million USD","15.108 Billion USD","USA","Retail, Consumer Non Durables, Consumer Cyclical","13,100","S&P 500","","NYSE","http://www.hzlindia.com/"
"PUBLIC BANK BERHAD","1,140","2,713 Million USD","1,169 Million USD","19.792 Billion USD","Malaysia","Financial Services, Banking Services","19,000","","","Malaysia","http://www.hzlindia.com/"
"ASM INTERNATIONAL NV","1,141","1,567 Million USD","334 Million USD","10.620 Billion USD","Netherlands","Semiconductors, Technology","2,337","S&P EUROPE 350","","EURONEXT","http://www.hzlindia.com/"
"LIVE NATION ENTERTAINMENT","1,142","1,861 Million USD","-1,723 Million USD","15.682 Billion USD","USA","Consumer Services, Entertainment, Communication Services","38,500","S&P 500","","NYSE","http://www.hzlindia.com/"
"SYMRISE AG","1,143","4,154 Million USD","359 Million USD","17.876 Billion USD","Germany","Chemicals, Basic Materials","10,242","S&P EUROPE 350","","Deutsche Borse","http://www.hzlindia.com/"
"BAKER HUGHES COMPANY","1,144","23,840 Million USD","128 Million USD","21.585 Billion USD","USA","Oil Field Services, Oil and Gas, Energy","60,000","S&P 500","","Frankfurt, NYSE","http://www.hzlindia.com/"
"WALVAX BIOTECHNOLOGY","1,145","441 Million USD","150 Million USD","9.110 Billion USD","China","Biotechnology, Biopharmaceutical, Healthcare","","","","Shenzhen","http://www.hzlindia.com/"
"SAMSUNG C&T CORPORATION","1,146","26,590 Million USD","880 Million USD","21.878 Billion USD","South Korea","Luxury Goods, Conglomerate, Industries","9,119","","","South Korea","http://www.samsungcnt.com"
"ALUMINUM CORPORATION OF CHINA","1,147","27,899 Million USD","72 Million USD","8.661 Billion USD","China","Mining, Metals, Basic Materials","","","","NYSE, Shanghai","http://www.samsungcnt.com"
"HELLOFRESH SE","1,148","4,425 Million USD","432 Million USD","13.444 Billion USD","Germany","Food Service, Food Chains / Distributor, Consumer Cyclical","4,477","S&P EUROPE 350","","Deutsche Borse","http://www.samsungcnt.com"
"CMS ENERGY CORPORATION","1,149","6,840 Million USD","680 Million USD","17.469 Billion USD","USA","Electric Utilities, Gas Utilities, Utilities","8,789","S&P 500","","Frankfurt, NYSE","http://www.samsungcnt.com"
"TAKE-TWO INTERACTIVE SOFTWARE","1,150","3,089 Million USD","405 Million USD","23.919 Billion USD","USA","Software and IT, Technology, Communication Services","4,894","Nasdaq 100, S&P 500","","Nasdaq","http://www.samsungcnt.com"
"WAN HAI LINES","1,151","2,948 Million USD","407 Million USD","4.179 Billion USD","Taiwan","Transportation, Shipping, Industries","","","","Taiwan","http://www.samsungcnt.com"
"CGN POWER","1,152","9,131 Million USD","1,420 Million USD","19.384 Billion USD","China","Power Generation, Nuclear Power, Utilities","","","","Frankfurt, HKeX","http://www.samsungcnt.com"
"DLOCAL LTD","1,153","","","","Uruguay","Technology, Financial Services, Digital Payment Solution Services","","","","Nasdaq","http://www.samsungcnt.com"
"AVERY DENNISON CORPORATION","1,154","6,971 Million USD","556 Million USD","12.939 Billion USD","USA","Consumer Durables, Packaging, Industries","30,000","S&P 500","","NYSE","http://www.samsungcnt.com"
"QUEST DIAGNOSTICS","1,155","9,437 Million USD","1,425 Million USD","16.060 Billion USD","USA","Health Care Diagnostics, HealthCare Products, Healthcare","47,000","S&P 500","","Frankfurt, NYSE","http://www.samsungcnt.com"
"J.B. HUNT TRANSPORT SERVICES","1,156","9,636 Million USD","506 Million USD","14.441 Billion USD","USA","Transportation, Freight Transport, Industries","29,056","S&P 500","","Nasdaq","https://www.jbhunt.com/"
"CITIZENS FINANCIAL GROUP","1,157","5,990 Million USD","1,718 Million USD","15.272 Billion USD","USA","Banking Services, Financial Services","18,000","S&P 500","","Frankfurt, NYSE","https://www.jbhunt.com/"
"VANTAGE TOWERS AG","1,158","","","","Germany","Telecom, Cell Towers Infrastructure, Industries","","","","Frankfurt","https://www.jbhunt.com/"
"PUMA SE","1,159","6,176 Million USD","92 Million USD","16.982 Billion USD","Germany","Footwear, Consumer Goods, Consumer Cyclical","14,332","S&P EUROPE 350","","Frankfurt, Deutsche Borse","https://www.jbhunt.com/"
"PIMCO","1,159","","","","USA","Financial Services, Asset Management","","","","","https://www.jbhunt.com/"
"ALLEGRO.EU SA","1,160","4,678 Million USD","-392 Million USD","","Luxembourg","Retail, eCommerce, Consumer Cyclical","","","","Frankfurt","https://www.jbhunt.com/"
"IMPERIAL OIL","1,161","26,930 Million USD","1,738 Million USD","13.926 Billion USD","Canada","Oil and Gas, Natural Gas Generation, Energy","6,000","TSX 60","","TSX","https://www.jbhunt.com/"
"POWER FINANCIAL CORPORATION","1,162","37,859 Million USD","1,661 Million USD","17.668 Billion USD","Canada","Insurance, Financial Services","28,400","","","TSX","https://www.jbhunt.com/"
"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD.","1,163","106 Million USD","66 Million USD","","China","Medical Equipment, Healthcare","","","","Shenzhen","https://www.jbhunt.com/"
"CHARTER HALL GROUP","1,164","365 Million USD","258 Million USD","5.268 Billion USD","Australia","Property Investments, Real Estate","450","ASX 100","","ASX","https://www.jbhunt.com/"
"LENDLEASE GROUP","1,165","8,637 Million USD","-229 Million USD","6.930 Billion USD","Australia","Construction, Infrastructure, Real Estate","12,000","ASX 100","","ASX","https://www.lendlease.com/"
"TELEFLEX","1,166","2,590 Million USD","461 Million USD","19.165 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","14,000","S&P 500","","Frankfurt, NYSE","https://www.lendlease.com/"
"ITAUSA - INVESTIMENTOS ITAU","1,167","2,920 Million USD","1,341 Million USD","19.333 Billion USD","Brazil","Investments, Banking Services, Financial Services","94,881","","","Bovespa Brazil","https://www.lendlease.com/"
"NVR","1,168","7,546 Million USD","901 Million USD","15.179 Billion USD","USA","Capital Goods, Construction, Consumer Cyclical","5,700","S&P 500","","Frankfurt, NYSE","https://www.lendlease.com/"
"SK TELECOM","1,169","16,389 Million USD","1,266 Million USD","15.622 Billion USD","South Korea","Telecom, Utilities, Communication Services","40,543","South Korea ADRs","","NYSE","https://www.lendlease.com/"
"NIPPON STEEL CORPORATION","1,170","53,886 Million USD","-3,884 Million USD","11.873 Billion USD","Japan","Iron and Steel, Metals, Basic Materials","106,000","NIKKEI 225","","Tokyo","https://www.lendlease.com/"
"GUANGZHOU TINCI MATERIALS TECHNOLOGY","1,171","618 Million USD","80 Million USD","8.677 Billion USD","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.lendlease.com/"
"AKAMAI TECHNOLOGIES","1,172","3,198 Million USD","557 Million USD","17.092 Billion USD","USA","Software and IT, Internet or Mobile App Based Business, Technology","3,639","S&P 500","","Nasdaq","https://www.lendlease.com/"
"LIBERTY SIRIUSXM GROUP","1,173","8,040 Million USD","-747 Million USD","16.513 Billion USD","USA","Media, Advertising, Communication Services","86","","","Nasdaq","https://www.lendlease.com/"
"ZHEJIANG CHINT ELECTRICS","1,174","4,988 Million USD","964 Million USD","12.887 Billion USD","China","Electrical Products, Industries","","","","Shanghai","https://www.lendlease.com/"
"NICE","1,175","1,648 Million USD","197 Million USD","17.536 Billion USD","Israel","Computers Hardware, Software and IT, Technology","6,800","","","Tel Aviv, Nasdaq","https://www.nice.com/"
"MS&AD INSURANCE GROUP HOLDINGS","1,176","45,900 Million USD","1,287 Million USD","16.290 Billion USD","Japan","Insurance, Financial Services","41,600","NIKKEI 225","","Tokyo","https://www.nice.com/"
"FUYAO GLASS INDUSTRY GROUP","1,177","2,986 Million USD","390 Million USD","17.511 Billion USD","China","Automobile, Automobile Parts, Consumer Cyclical","","","","HKeX","https://www.nice.com/"
"TELIA COMPANY AB (PUBL)","1,178","10,316 Million USD","851 Million USD","16.799 Billion USD","Sweden","Telecom, Internet Providers, Communication Services","20,700","S&P EUROPE 350","","Stockholm","https://www.nice.com/"
"GUOSEN SECURITIES","1,179","2,740 Million USD","992 Million USD","20.069 Billion USD","China","Investments, Stock Markets, Trading, Capital Markets, Financial Services","11,500","","","Shenzhen","https://www.nice.com/"
"BENTLEY SYSTEMS INC","1,180","802 Million USD","126 Million USD","11.002 Billion USD","USA","Software and IT, Technology","3,800","","","Nasdaq","https://www.nice.com/"
"CP ALL PUBLIC COMPANY","1,181","16,302 Million USD","453 Million USD","17.442 Billion USD","Thailand","Retail, Convenience Stores, Consumer Defensive","62,556","Thailand ADRs","","Thailand","https://www.nice.com/"
"OMV GROUP","1,182","19,530 Million USD","1,484 Million USD","13.137 Billion USD","Austria","Oil and Gas, Oil and Gas Pipeline Transport, Energy","20,000","S&P EUROPE 350","","Vienna","https://www.nice.com/"
"KYOWA KIRIN","1,183","2,897 Million USD","423 Million USD","14.352 Billion USD","Japan","HealthCare Products, Pharmaceutical, Healthcare","5,267","NIKKEI 225","","Tokyo","https://www.nice.com/"
"MARKETAXESS HOLDINGS","1,184","689 Million USD","299 Million USD","21.660 Billion USD","USA","Software and IT, Technology, Financial Services","527","S&P 500","","Nasdaq","https://www.nice.com/"
"SHENZHEN TRANSSION HOLDINGS","1,185","3,802 Million USD","269 Million USD","18.630 Billion USD","China","Communications Equipment, Technology","","","","Shanghai","http://www.transsion.com/"
"NUVEI CORPORATION","1,186","375 Million USD","-104 Million USD","","Canada","Technology, Software and IT, Digital Payment Solution Services","400","","","Nasdaq","http://www.transsion.com/"
"LENS TECHNOLOGY","1,187","4,539 Million USD","370 Million USD","20.540 Billion USD","China","Electronics, Capital Goods, Technology","198,990","","","Shenzhen","http://www.transsion.com/"
"M&T BANK CORPORATION","1,188","6,190 Million USD","1,849 Million USD","16.333 Billion USD","USA","Banking Services, Asset Management, Financial Services","17,773","S&P 500","","Frankfurt, NYSE","http://www.transsion.com/"
"COUPA SOFTWARE","1,189","603 Million USD","-180 Million USD","24.461 Billion USD","USA","Software and IT, Software Products, Technology","1,693","","","Nasdaq","http://www.transsion.com/"
"EXACT SCIENCES CORPORATION","1,190","1,491 Million USD","-848 Million USD","19.930 Billion USD","USA","Biotechnology, Technology, Healthcare","4,110","","","Nasdaq","http://www.transsion.com/"
"HAIER ELECTRONICS GROUP","1,190","30,114 Million USD","","14.985 Billion USD","Hong Kong","Electronics, Air Conditioners, Technology","16,775","","","HKeX","http://www.transsion.com/"
"BYJUS","1,190","374 Million USD","7 Million USD","","India","Internet or Mobile App Based Business, Technology, Education","9,000","","Byju Raveendran","","http://www.transsion.com/"
"PRINCIPAL FINANCIAL GROUP","1,191","14,741 Million USD","1,396 Million USD","13.629 Billion USD","USA","Insurance, Investments, Financial Services","17,600","S&P 500","","Frankfurt, Nasdaq","http://www.transsion.com/"
"ALFA LAVAL AB (PUBL)","1,192","4,976 Million USD","426 Million USD","11.482 Billion USD","Sweden","Engineering Products, Machinery Manufacturing, Industries","17,196","S&P EUROPE 350","","Stockholm","http://www.transsion.com/"
"IFLYTEK","1,193","1,954 Million USD","207 Million USD","13.918 Billion USD","China","Software and IT, Artificial Intelligence, Technology","10,000","","","Shenzhen","https://www.iflytek.com/"
"BATH & BODY WORKS INC","1,194","11,847 Million USD","844 Million USD","10.343 Billion USD","USA","Luxury Goods, Retail, Consumer Cyclical","59,950","S&P 500","","Mexico, NYSE","https://www.iflytek.com/"
"KB FINANCIAL GROUP","1,195","13,245 Million USD","2,917 Million USD","15.700 Billion USD","South Korea","Banking Services, Financial Services","25,343","South Korea ADRs","","Frankfurt, NYSE","https://www.iflytek.com/"
"COLES GROUP","1,196","27,960 Million USD","714 Million USD","18.604 Billion USD","Australia","Retail, Super Markets, Consumer Cyclical","118,000","ASX 100","Steven Cain","Frankfurt, ASX","https://www.iflytek.com/"
"UPSTART HOLDINGS, INC.","1,197","228 Million USD","0 Million USD","2.953 Billion USD","USA","Financial Services","429","","","Nasdaq","https://www.iflytek.com/"
"HALLIBURTON COMPANY","1,198","22,410 Million USD","-1,131 Million USD","16.708 Billion USD","USA","Oil Field Services, Oil and Gas, Energy","55,000","S&P 500","","NYSE","https://www.iflytek.com/"
"TRINA SOLAR CO., LTD","1,199","4,413 Million USD","184 Million USD","","China","Solar Power Devices, Technology","","","","Shanghai","https://www.iflytek.com/"
"POSTE ITALIANE SPA","1,200","35,237 Million USD","1,424 Million USD","13.180 Billion USD","Italy","Financial Services, Insurance, Industries","126,445","","","Borsa Italiana","https://www.iflytek.com/"
"NOVAVAX","1,201","476 Million USD","-418 Million USD","7.527 Billion USD","USA","Biotechnology, Technology, Healthcare","375","","","Frankfurt, Nasdaq","https://www.iflytek.com/"
"BOSTON PROPERTIES","1,202","2,960 Million USD","511 Million USD","14.715 Billion USD","USA","Property Investments, Investments, Real Estate","760","S&P 500","","NYSE","https://www.iflytek.com/"
"VIATRIS INC","1,203","11,946 Million USD","-670 Million USD","22.529 Billion USD","USA","Biotechnology, Technology, Healthcare","45,000","S&P 500","","Nasdaq","http://www.mylan.com/"
"SUMITOMO REALTY & DEVELOPMENT","1,204","9,223 Million USD","1,269 Million USD","14.129 Billion USD","Japan","Construction, Real Estate","5,841","NIKKEI 225","","Frankfurt, Tokyo","http://www.mylan.com/"
"SUMITOMO CORPORATION","1,205","48,221 Million USD","1,542 Million USD","16.290 Billion USD","Japan","Trading, Conglomerate, Industries","72,642","NIKKEI 225","","Tokyo, Frankfurt","http://www.mylan.com/"
"TCS GROUP HOLDING","1,206","2,224 Million USD","619 Million USD","4.619 Billion USD","Russia","Banking Services, Financial Services","","","","Frankfurt","http://www.mylan.com/"
"THE CARLYLE GROUP","1,207","2,677 Million USD","348 Million USD","11.115 Billion USD","USA","Asset Management, Investments, Financial Services","1,775","","","Nasdaq, Frankfurt","http://www.mylan.com/"
"CHINA CSSC HOLDINGS","1,208","8,287 Million USD","46 Million USD","12.110 Billion USD","China","Infrastructure, Ships and Boats, Industries","","","","Shanghai","http://www.mylan.com/"
"SHENWAN HONGYUAN GROUP","1,209","3,647 Million USD","860 Million USD","18.613 Billion USD","China","Investments, Asset Management, Financial Services","","","","HKeX, Shanghai","http://www.mylan.com/"
"CELANESE CORPORATION","1,210","5,655 Million USD","1,985 Million USD","15.189 Billion USD","USA","Chemicals, Basic Materials","7,714","S&P 500","","NYSE","http://www.mylan.com/"
"SGHOLDINGS","1,211","10,679 Million USD","426 Million USD","17.673 Billion USD","Japan","Conglomerate, Logistics, Industries","96,914","","","Tokyo","http://www.mylan.com/"
"JACOBS ENGINEERING GROUP","1,212","13,567 Million USD","492 Million USD","13.823 Billion USD","USA","Engineering Products, Engineering Services, Industries","52,000","S&P 500","","Frankfurt, NYSE","http://www.mylan.com/"
"YUNNAN BAIYAO GROUP","1,213","4,911 Million USD","827 Million USD","22.212 Billion USD","China","Pharmaceutical, Chemicals, Healthcare","","","","Shenzhen","http://www.yunnanbaiyao.com.cn/"
"GROUPE BRUXELLES LAMBERT SA","1,214","7,392 Million USD","457 Million USD","15.336 Billion USD","Belgium","Investments, Asset Management, Financial Services","59,000","S&P EUROPE 350, EURONEXT 100","","EURONEXT","http://www.yunnanbaiyao.com.cn/"
"MONCLER","1,215","1,699 Million USD","354 Million USD","15.434 Billion USD","Italy","Apparels and Accessories, Readymade Clothing, Consumer Cyclical","4,569","S&P EUROPE 350","","Borsa Italiana","http://www.yunnanbaiyao.com.cn/"
"GENUINE PARTS COMPANY","1,216","16,537 Million USD","-29 Million USD","14.491 Billion USD","USA","Automobile, Automobile Parts, Consumer Cyclical","55,000","S&P 500","","Frankfurt, NYSE","http://www.yunnanbaiyao.com.cn/"
"FORMOSA CHEMICALS & FIBRE CORPORATION","1,217","11,358 Million USD","1,069 Million USD","17.641 Billion USD","Taiwan","Chemicals, Petrochemicals, Basic Materials","51,000","","","Taiwan","http://www.yunnanbaiyao.com.cn/"
"SK INNOVATION","1,218","30,064 Million USD","-1,846 Million USD","18.572 Billion USD","South Korea","Oil and Gas, Oil Refining, Energy","107,983","","","South Korea","http://www.yunnanbaiyao.com.cn/"
"BOLLORE","1,219","29,315 Million USD","278 Million USD","12.070 Billion USD","France","Oil and Gas, Conglomerate, Communication Services","83,800","","","Frankfurt, Frankfurt, EURONEXT","http://www.yunnanbaiyao.com.cn/"
"FULL TRUCK ALLIANCE CO. LTD.","1,220","387 Million USD","-539 Million USD","","China","Software and IT, Technology, Freight Transport","","","","NYSE","http://www.yunnanbaiyao.com.cn/"
"CRODA INTERNATIONAL","1,221","1,902 Million USD","307 Million USD","12.542 Billion USD","UK","Chemicals, Pharmaceutical, Basic Materials","4,309","S&P EUROPE 350, FTSE 100","","Frankfurt, LSE","http://www.yunnanbaiyao.com.cn/"
"MARKEL CORPORATION","1,222","9,520 Million USD","1,791 Million USD","14.237 Billion USD","USA","Insurance, Financial Services","18,600","","","Frankfurt, NYSE","http://www.yunnanbaiyao.com.cn/"
"HANGZHOU TIGERMED CONSULTING","1,223","479 Million USD","263 Million USD","21.361 Billion USD","China","Health Care Diagnostics, Healthcare","","","","Shenzhen","https://tigermedgrp.com/"
"JA SOLAR TECHNOLOGY","1,224","3,877 Million USD","226 Million USD","9.944 Billion USD","China","Solar Power Devices, Technology","25,000","","","Shenzhen","https://tigermedgrp.com/"
"BROOKFIELD PROPERTY PARTNERS","1,226","6,593 Million USD","-2,400 Million USD","13.467 Billion USD","Bermuda","Financial Services, Real Estate","","TSX 60","","Nasdaq, TSX","https://tigermedgrp.com/"
"OBIC","1,227","732 Million USD","316 Million USD","17.867 Billion USD","Japan","Software and IT, Cloud Services, Technology","2,051","","","Tokyo, Frankfurt","https://tigermedgrp.com/"
"NUANCE COMMUNICATIONS","1,228","1,478 Million USD","21 Million USD","12.561 Billion USD","USA","Software and IT, Software Products, Technology","6,500","","","Nasdaq","https://tigermedgrp.com/"
"AVEVA GROUP","1,229","1,151 Million USD","96 Million USD","12.584 Billion USD","UK","Software and IT, Software Products, Technology","4,600","FTSE 100","","LSE, Frankfurt","https://tigermedgrp.com/"
"DR. SULAIMAN AL HABIB MEDICAL SERVICES GROUP COMPANY","1,230","1,582 Million USD","285 Million USD","","Saudi Arabia","Hospitals, Healthcare Service, Healthcare","","","","Tadawul","https://tigermedgrp.com/"
"HEIDELBERG CEMENT AG","1,231","20,775 Million USD","-2,503 Million USD","15.242 Billion USD","Germany","Cement, Construction Materials, Basic Materials","53,882","S&P EUROPE 350","","Deutsche Borse","https://tigermedgrp.com/"
"LOGITECH INTERNATIONAL","1,232","2,975 Million USD","450 Million USD","16.635 Billion USD","Switzerland","Electronics, Computers Hardware, Technology","6,600","S&P EUROPE 350","","Nasdaq, Switzerland","https://tigermedgrp.com/"
"NINGXIA BAOFENG ENERGY GROUP","1,233","2,389 Million USD","693 Million USD","13.133 Billion USD","China","Chemicals, Mining, Basic Materials","","","","Shanghai","https://tigermedgrp.com/"
"COMPANHIA PARANAENSE DE ENERGIA - COPEL","1,234","3,540 Million USD","742 Million USD","3.913 Billion USD","Brazil","Electric Utilities, Telecom, Utilities","","","","NYSE, Bovespa Brazil","https://www.copel.com"
"ADVANTEST CORPORATION","1,235","2,502 Million USD","482 Million USD","15.430 Billion USD","Japan","Semiconductors, Product Testing Services, Technology","5,503","NIKKEI 225","","Tokyo","https://www.copel.com"
"ADVANCED INFO SERVICE PUBLIC COMPANY","1,236","5,360 Million USD","823 Million USD","17.448 Billion USD","Thailand","Telecom, Mobile Services, Communication Services","12,701","Thailand ADRs","","Frankfurt","https://www.copel.com"
"SHINHAN FINANCIAL GROUP","1,237","18,162 Million USD","2,903 Million USD","15.175 Billion USD","South Korea","Banking Services, Securities, Financial Services","157","South Korea ADRs","","NYSE","https://www.copel.com"
"JAMES HARDIE INDUSTRIES","1,238","2,606 Million USD","242 Million USD","16.976 Billion USD","Ireland","Construction Materials, Capital Goods, Basic Materials","5,000","ASX 100","","NYSE, ASX, Frankfurt","https://www.copel.com"
"WUXI LEAD INTELLIGENT EQUIPMENT","1,239","879 Million USD","115 Million USD","11.665 Billion USD","China","Electronics, Electrical Products, Industries","","","","Shenzhen","https://www.copel.com"
"ARGENX SE","1,240","42 Million USD","-619 Million USD","14.022 Billion USD","Netherlands","Pharmaceutical, Biopharmaceutical, Healthcare","186","S&P EUROPE 350","","Frankfurt, Nasdaq","https://www.copel.com"
"DOXIMITY, INC.","1,241","207 Million USD","50 Million USD","","USA","Healthcare, Internet or Mobile App Based Business, Social Media","","","","NYSE","https://www.copel.com"
"NEXON","1,242","2,667 Million USD","506 Million USD","27.014 Billion USD","Japan","Software and IT, Technology, Communication Services","6,428","","","Tokyo","https://www.copel.com"
"SBI LIFE INSURANCE COMPANY","1,243","5,686 Million USD","199 Million USD","12.248 Billion USD","India","Insurance, Financial Services","17,466","BSE-100 Index, S&P BSE FINANCE, Nifty 50 Index","","NSE, BSE","https://www.copel.com"
"IDEX CORPORATION","1,244","2,351 Million USD","378 Million USD","15.081 Billion USD","USA","Capital Goods, Industry Machinery, Industries","7,439","S&P 500","","Frankfurt, NYSE","https://www.idexcorp.com/"
"SURGUTNEFTEGAS","1,245","20,223 Million USD","1,476 Million USD","17.600 Billion USD","Russia","Oil and Gas, Natural Gas Generation, Energy","101,713","","Vladimir Bogdanov","Frankfurt, Russia","https://www.idexcorp.com/"
"WABTEC CORPORATION","1,246","7,556 Million USD","414 Million USD","13.932 Billion USD","USA","Railway, Capital Goods, Industries","18,000","S&P 500","","NYSE","https://www.idexcorp.com/"
"SINCH AB (PUBL)","1,247","604 Million USD","33 Million USD","10.239 Billion USD","Sweden","Technology, Software and IT, Communication Services","825","","","Stockholm","https://www.idexcorp.com/"
"SMITH & NEPHEW","1,248","4,560 Million USD","448 Million USD","18.518 Billion USD","UK","Medical Equipment, HealthCare Products, Healthcare","16,000","S&P EUROPE 350, FTSE 100","","LSE, NYSE","https://www.idexcorp.com/"
"CEZ A. S","1,249","6,167 Million USD","250 Million USD","12.806 Billion USD","Czech Republic","Power Generation, Electricity Generation, Utilities","","","","Frankfurt","https://www.idexcorp.com/"
"REPSOL","1,250","58,207 Million USD","-4,499 Million USD","15.345 Billion USD","Spain","Oil and Gas, Oil Refining, Energy","25,000","S&P EUROPE 350","","MCE","https://www.idexcorp.com/"
"CHINA UNICOM (HONG KONG)","1,251","43,577 Million USD","1,700 Million USD","17.682 Billion USD","China","Telecom, Mobile Services, Communication Services","256,385","","","Frankfurt, HKeX, NYSE","https://www.idexcorp.com/"
"INCYTE CORPORATION","1,252","2,150 Million USD","447 Million USD","19.048 Billion USD","USA","Biopharmaceutical, Biotechnology, Healthcare","1,456","Nasdaq 100, S&P 500","","Nasdaq","https://www.idexcorp.com/"
"VICI PROPERTIES","1,253","1,225 Million USD","891 Million USD","13.685 Billion USD","USA","Consumer Services, Entertainment, Real Estate","140","","","NYSE","https://www.idexcorp.com/"
"CERIDIAN HCM HOLDING","1,254","842 Million USD","-4 Million USD","15.750 Billion USD","USA","Software and IT, Software Products, Technology","5,200","S&P 500","","Frankfurt, NYSE","https://www.ceridian.com"
"SANGFOR TECHNOLOGIES","1,255","689 Million USD","114 Million USD","15.710 Billion USD","China","Software and IT, Software Products, Technology","","","","Shenzhen","https://www.ceridian.com"
"HANSOH PHARMACEUTICAL GROUP COMPANY","1,256","1,129 Million USD","332 Million USD","28.705 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","9,178","","","HKeX","https://www.ceridian.com"
"XERO","1,257","490 Million USD","2 Million USD","16.124 Billion USD","New Zealand","Software and IT, Cloud Services, Technology","3,055","ASX 100","","Frankfurt, ASX","https://www.ceridian.com"
"SECOM","1,258","9,646 Million USD","801 Million USD","19.870 Billion USD","Japan","Business Services, Security Systems and Solutions, Industries","58,404","NIKKEI 225","","Tokyo","https://www.ceridian.com"
"CENOVUS ENERGY","1,259","10,764 Million USD","-1,879 Million USD","7.469 Billion USD","Canada","Oil and Gas, Energy","2,361","TSX 60","","Frankfurt, TSX, NYSE","https://www.ceridian.com"
"OTP BANK NYRT","1,260","4,054 Million USD","838 Million USD","12.280 Billion USD","Hungary","Banking Services, Financial Services","","","","Frankfurt","https://www.ceridian.com"
"PEMBINA PIPELINE CORPORATION","1,261","5,726 Million USD","1,075 Million USD","12.998 Billion USD","Canada","Oil and Gas, Oil and Gas Pipeline Transport, Energy","2,791","TSX 60","","TSX, NYSE","https://www.ceridian.com"
"BROOKFIELD INFRASTRUCTURE PARTNERS","1,262","6,597 Million USD","211 Million USD","14.507 Billion USD","Canada","Infrastructure, Energy, Utilities","41,000","TSX 60","","TSX, NYSE","https://www.ceridian.com"
"BEIJING KINGSOFT OFFICE SOFTWARE","1,263","339 Million USD","132 Million USD","29.002 Billion USD","China","Software and IT, Technology","7,589","","","Shanghai","https://www.ceridian.com"
"CHECK POINT SOFTWARE TECHNOLOGIES","1,264","2,064 Million USD","847 Million USD","18.634 Billion USD","Israel","Software and IT, Software Products, Technology","5,200","Nasdaq 100","","Nasdaq","https://www.checkpoint.com/"
"L E LUNDBERGFORETAGEN AB (PUBL)","1,265","2,540 Million USD","431 Million USD","13.217 Billion USD","Sweden","Investments, Asset Management, Financial Services","","","","Stockholm","https://www.checkpoint.com/"
"PUBLICIS GROUPE","1,266","12,981 Million USD","984 Million USD","12.182 Billion USD","France","Media, Advertising, Communication Services","83,325","EURONEXT 100, S&P EUROPE 350, CAC 40","","Frankfurt, EURONEXT","https://www.checkpoint.com/"
"CHINA COMMUNICATIONS CONSTRUCTION COMPANY","1,267","83,219 Million USD","3,016 Million USD","14.964 Billion USD","China","Construction, Infrastructure, Industries","","","","HKeX, Shanghai","https://www.checkpoint.com/"
"MONDAY.COM LTD.","1,268","161 Million USD","-152 Million USD","","Israel","Cloud Services, Technology, Software and IT","620","","","Nasdaq","https://www.checkpoint.com/"
"CHINA FEIHE","1,269","2,058 Million USD","590 Million USD","20.924 Billion USD","China","Food Products, Dairy Products, Consumer Defensive","","","","HKeX","https://www.checkpoint.com/"
"PIDILITE INDUSTRIES","1,270","944 Million USD","156 Million USD","12.326 Billion USD","India","Chemicals, Construction Materials, Basic Materials","5,742","S&P BSE BASIC MATERIALS, BSE-100 Index","","NSE, BSE","https://www.checkpoint.com/"
"ABIOMED","1,271","8,408 Million USD","203 Million USD","14.651 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","1,536","S&P 500","","Nasdaq","https://www.checkpoint.com/"
"ERSTE GROUP BANK AG","1,272","8,580 Million USD","789 Million USD","12.317 Billion USD","Austria","Banking Services, Financial Services","47,230","S&P EUROPE 350","","Vienna","https://www.checkpoint.com/"
"SWIRE PROPERTIES","1,273","1,730 Million USD","532 Million USD","17.014 Billion USD","Hong Kong","Construction, Infrastructure, Real Estate","130,716","","","HKeX","https://www.checkpoint.com/"
"BANCO DO BRASIL","1,274","17,570 Million USD","2,377 Million USD","21.313 Billion USD","Brazil","Banking Services, Financial Services","93,190","","Andre Guilherme Brandao","Bovespa Brazil","https://www.bb.com.br"
