medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Internal Medicine;Ilene April Grossman, MD;Iora Primary Care; women’s health, preventive medicine;;280 Cobb Parkway SE, Suite 60, Marietta, 30060;678-671-5211
Endocrinology, Diabetes & Metabolism;Jean E. Molinary, DO;Wellstar Medical Specialists; Wellstar Kennestone Hospital; diabetes, thyroid disorders, osteoporosis, cholesterol/lipid disorders;625 Church Street, Marietta, 30060;770-422-2004
Endocrinology, Diabetes & Metabolism;Miguel Munoz, MD;Southeastern Endocrine & Diabetes; Emory Saint Joseph’s Hospital, Northside Hospital; thyroid disorders, parathyroid disorders;1475 Holcomb Bridge Road, Suite 129, Roswell, 30076;678-325-2250
Obstetrics & Gynecology;Kawami Clay, MD;Peachtree Women’s Clinic; Northside Hospital Cherokee, Northside Hospital Forsyth;;11975 Morris Road Suite 300, Alpharetta, 30005;770-521-2295
Cardiovascular Disease;Sybil D. Dotson, MD;Emory Heart & Vascular Center; Emory Decatur Hospital;;2665 North Decatur Road, Suite 240, Decatur, 30033;404-778-7667
Cardiovascular Disease;Melvin R. Echols, MD;Camp Creek Comprehensive Care Center; Grady Memorial Hospital;;3896 Princeton Lakes Way, Atlanta, 30331;404-489-4444
Thoracic & Cardiac Surgery;Seth D. Force, MD;Cardiothoracic Surgery Emory Clinic, Building A,; Emory University Hospital; lung cancer, minimally invasive thoracic surgery, esophageal cancer, pleural disease;1365 Clifton Road NE, Suite 2223, Atlanta, 30322;404-778-3629
Thoracic & Cardiac Surgery;John W. Gouldman, MD;Northside Thoracic Surgery; Northside Hospital; minimally invasive thoracic surgery;960 Johnson Ferry Road NE, Suite 100, Atlanta, 30342;404-252-9063
Psychiatry;Karen Y. Mechanic, MD;Atlanta VA Medical Center; Atlanta VA Medical Center; substance abuse;1670 Clairmont Road, Decatur, 30033;404-321-6111
Psychiatry;Andrew H. Miller, MD;Emory Clinic at Executive Park; Emory University Hospital; child psychiatry;12 Executive Park Drive NE, Floor 3, Atlanta, 30329;404-778-5526
Surgery;Michael Champney, MD;DeKalb Surgical Associates; Emory Decatur Hospital, Northside Hospital; gastrointestinal surgery, breast disease, hernia, endocrine surgery;2665 North Decatur Road, Suite 730, Decatur, 30033;404-508-4320
Plastic Surgery;Amy K. Alderman, MD;North Atlanta Plastic Surgery; Northside Hospital, Northside Hospital Forsyth; breast augmentation, breast reduction, facelift, liposuction;3180 North Point Parkway, Building 500, Floor 3, Alpharetta, 30005;470-381-3610
Plastic Surgery;Diane Z. Alexander, MD;Artisan Plastic Surgery; Northside Hospital; laser surgery (skin resurfacing);5670 Peachtree Dunwoody Road, Suite 820, Atlanta, 30342;404-851-1998
Pediatric Nephrology;Donald Lee Batisky, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; hypertension, kidney disease (chronic), kidney disease, nephrotic syndrome;Children’s Specialty Services, 2015 Uppergate Drive NE, Atlanta, 30322;404-785-5437
Pediatric Infectious Disease;Preeti Jaggi, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston;;2015 Uppergate Drive NE, Children’s Specialty Services, Atlanta, 30322;404-785-5437
Physical Medicine & Rehabilitation;Brock K. Bowman, MD;Shepherd Center; Shepherd Center, Piedmont Atlanta Hospital; brain injury rehabilitation;2020 Peachtree Road NW, Atlanta, 30309;404-352-2020
Pediatric Hematology-Oncology;Michael A. Briones, DO;Aflac Cancer & Blood Disorders Center; Children’s Healthcare of Atlanta at Egleston; thrombotic disorders, Wilms’ tumor, liver cancer, bleeding/coagulation disorders;1001 Johnson Ferry Road NE, Atlanta, 30342;404-785-5437
Pediatric Gastroenterology;Jeffrey Blumenthal, MD;GI Care for Kids; Children’s Healthcare of Atlanta at Scottish Rite;;993D Johnson Ferry Road NE, Suite 440, Atlanta, 30342;404-257-0799
Pediatric Urology;Edwin A. Smith, MD;Georgia Urology; Children’s Healthcare of Atlanta at Egleston; genitourinary reconstruction, neurogenic bladder, hypospadias, pediatric cancers;5730 Glenridge Drive, Suite 200, Atlanta, 30328;404-252-5206
Pediatric Endocrinology;Paul J. Bernard, MD;Pediatric Endocrine Specialists of Georgia; Children’s Healthcare of Atlanta at Scottish Rite, Children’s Healthcare of Atlanta at Egleston; diabetes, thyroid disorders, growth disorders, obesity;10700 Medlock Bridge Road, Suite 102, Duluth, 30097;678-691-5351
Pediatric Cardiology;William L. Border, MD;Sibley Heart Center Cardiology; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite;;2835 Brandywine Road, Suite 400, Atlanta, 30341;404-256-2593
Pathology;Josef G. Venable, MD;Northside Hospital Pathology & Laboratory Medicine; Northside Hospital;;1000 Johnson Ferry Road, Atlanta, 30342;404-236-8467
Rheumatology;Paul G. Sutej, MD;Arthritis & Rheumatology of Georgia; Northside Hospital, Emory Saint Joseph’s Hospital; Raynaud’s disease, connective tissue disorders, vasculitis;980 Johnson Ferry Road NE, Suite 220, Atlanta, 30342;404-255-5956
Rheumatology;Jonathan E. Waltuck, MD;Department of Rheumatology; Emory University Hospital; rheumatoid arthritis, lupus/SLE, vasculitis, scleroderma;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-4366
Orthopaedic Surgery;Augustine H. Conduah, MD;Emory Orthopaedics & Spine Center; Emory Decatur Hospital, Emory Hillandale Hospital; sports medicine, arthroscopic surgery (hip, knee, and shoulder);8225 Mall Parkway, Suite 150, Lithonia, 30038;404-778-3350
Orthopaedic Surgery;Tapan K. Daftari, MD;Resurgens Orthopaedics; Wellstar Cobb Hospital, Wellstar Kennestone Hospital; spinal reconstructive surgery, minimally invasive spinal surgery, spinal disc replacement;2041 Mesa Valley Way, Suite 100, Austell, 30106;770-944-1100
Pediatric Otolaryngology;Steven L. Goudy, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; cleft palate/lip, airway disorders, vascular malformations/birthmarks, craniofacial surgery;Children’s Specialty Services, 2015 Uppergate Drive NE, Atlanta, 30322;404-785-5437
Pediatric Otolaryngology;Paula J. Harmon, MD;Pediatric Ear, Nose & Throat of Atlanta; Children’s Healthcare of Atlanta at Scottish Rite; hearing loss, cochlear implants, sinus disorders/surgery, airway reconstruction;5461 Meridian Mark Road, Suite 130, Atlanta, 30342;404-255-2033
Reproductive Endocrinology/Infertility;Jennifer F. Kawwass, MD;Emory Reproductive Center; Emory University Hospital Midtown; fertility preservation, infertility (IVF), infertility, hysteroscopic surgery;550 Peachtree Street NE, Medical Office Tower, Floor 18, Atlanta, 30308;404-778-3401
Reproductive Endocrinology/Infertility;Desiree M. McCarthy-Keith, MD;Shady Grove Fertility Atlanta; Northside Hospital; infertility, polycystic ovarian syndrome, uterine fibroids, infertility (IVF);5445 Meridian Mark Road, Suite 270, Atlanta, 30342;404-843-2229
Vascular Surgery;Daniel T. McDevitt, MD;Peachtree Vascular Specialists; Piedmont Henry Hospital; peripheral vascular disease;1035 Southcrest Drive, Suite 250, Stockbridge, 30281;770-996-9945
Vascular Surgery;Steven W. Oweida, MD;Vascular Surgical Associates; Wellstar Kennestone Hospital, Wellstar Cobb Hospital, Wellstar North Fulton Hospital; carotid artery angioplasty and stent, aneurysm (aortic), minimally invasive surgery;61 Whitcher Street NE, Suite 2100, Marietta, 30060;770-423-0595
Radiation Oncology;Shannon T. Kahn, MD;Emory Radiation Oncology; Emory Saint Joseph’s Hospital, Emory University Hospital; breast cancer, brain tumors, lung cancer, stereotactic radiosurgery;5665 Peachtree Dunwoody Road, Atlanta, 30342;678-843-7004
Radiation Oncology;Chad A. Levitt, MD;Peachtree Radiation Oncology; Piedmont Atlanta Hospital; breast cancer, colon and rectal cancer, prostate cancer, lung cancer;1800 Howell Mill Road, Suite LL10, Atlanta, 30318;404-425-7900
Cardiac Electrophysiology;Faisal M. Merchant, MD;Emory Heart & Vascular Center; Emory University Hospital Midtown; arrhythmias;550 Peachtree Street NE, Floor 6, Suite 600, Atlanta, 30308;404-686-2504
Cardiac Electrophysiology;Anshul M. Patel, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown; arrhythmias, pacemaker/defibrillators, atrial fibrillation;5671 Peachtree Dunwoody Road, Suite 300, Atlanta, 30342;404-778-5299
Dermatology;Jennifer L. Jones, MD;Skin Cancer Specialists & Aesthetic Center; Wellstar Kennestone Hospital; medical dermatology, skin cancer screening;835 Cogburn Avenue NW, Suite 100, Marietta, 30060;770-422-5557
Dermatology;Michelle L. Juneau, MD;Dermatology Consultants; Piedmont Atlanta Hospital; medical dermatology, cosmetic dermatology, dermatologic surgery;3280 Howell Mill Road NW, Suite 101, Atlanta, 30327;404-351-7546
Vascular & Interventional Radiology;Alan M. Zuckerman, MD;Quantum Radiology; Wellstar Kennestone Hospital, Wellstar Cobb Hospital; interventional radiology, varicocele, portal hypertension;790 Church Street, Suite 400, Marietta, 30060;678-581-3830
Pulmonary Disease;William T. Dowdell, MD;Wellstar Medical Group; Wellstar Kennestone Hospital, Wellstar Windy Hill Hospital; sleep disorders;55 Whitcher Street, Suite 160, Marietta, 30060;770-422-1372
Pulmonary Disease;Annette M. Esper, MD;Pulmonary & Critical Care Medicine; Grady Memorial Hospital; critical care;Grady Memorial Hospital, 80 Jesse Hill Jr. Drive SE, Atlanta, 30303;404-616-1000
Urology;Allen A. Futral III, MD;Georgia Urology; Piedmont Rockdale Hospital, Emory Decatur Hospital; incontinence (urinary), prostate cancer, interstitial cystitis, erectile dysfunction;1301 Sigman Road, Suite 250, Conyers, 30012;770-760-9900
Urology;Alienor S. Gilchrist, MD;Urology of Greater Atlanta; Piedmont Henry Hospital, Northside Hospital; voiding dysfunction;290 Country Club Drive, Suite 100, Stockbridge, 30281;770-474-5281
Gastroenterology;Ralph C. Lyons, MD;Atlanta Gastroenterology Associates; Southern Regional Medical Center, Piedmont Fayette Hospital; endoscopy, colon cancer screening;34 Upper Riverdale Road, Suite 201, Riverdale, 30274;678-904-0094
Gastroenterology;Enrique J. Martinez, MD;Atlanta Gastroenterology Associates; Emory University Hospital Midtown, Emory Decatur Hospital; transplant medicine (liver), liver disease, hepatitis;550 Peachtree Street NE, Suite 1720, Atlanta, 30308;404-253-6824
Pediatrics;Lisa G. Roberts, MD;Gwinnett Pediatrics & Adolescent Medicine; Northside Hospital Lawrenceville, Children’s Healthcare of Atlanta at Scottish Rite; prematurity/low birth weight infants, asthma;3855 Pleasant Hill Road, Suite 210, Duluth, 30096;770-995-0823
Internal Medicine;Elizabeth Hawk, MD;Piedmont Internal Medicine; Piedmont Atlanta Hospital;;3280 Howell Mill Road NW, Suite 150, Atlanta, 30327;404-351-7467
Internal Medicine;Mitchell W. Hecht, MD;;;;1305 Hembree Road, Suite 201, Roswell, 30076;770-475-0212
Internal Medicine;J. Taylor Henson, MD;Northeast Georgia Physicians Group; Northeast Georgia Medical Center; travel medicine;1285 Sims Street, Gainesville, 30501;770-219-8583
Endocrinology, Diabetes & Metabolism;Israel B. Orija, MD;Wellstar Medical Group; Wellstar Atlanta Medical Center;;285 Boulevard NE, Suite 525, Atlanta, 30312;404-265-1044
Endocrinology, Diabetes & Metabolism;Reshma V. Patel, MD;Piedmont Physicians Endocrinology-Buckhead; Piedmont Atlanta Hospital; osteoporosis, pituitary and adrenal disorders;35 Collier Road NW, Suite 775, Atlanta, 30309;404-367-3210
Obstetrics & Gynecology;Robbie Conatser, MD;Northside/Northpoint OB-GYN; Northside Hospital, Northside Hospital Forsyth;;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-3633
Obstetrics & Gynecology;Joanne M. Cox, MD;Atlanta Women’s Obstetrics & Gynecology; Piedmont Atlanta Hospital;;275 Collier Road NW, Suite 230, Atlanta, 30309;404-352-3616
Cardiovascular Disease;Steven J. Eisenberg, MD;Complete Cardiology; Northside Hospital, Emory Saint Joseph’s Hospital; heart failure, cholesterol/lipid disorders, heart valve disease, atrial fibrillation;1100 Johnson Ferry Road, Center Pointe 2, Suite 450, Atlanta, 30342;404-939-9200
Thoracic & Cardiac Surgery;Robert A. Guyton, MD;Emory University Hospital Midtown; Emory University Hospital Midtown, Emory University Hospital; coronary artery surgery, minimally invasive cardiac surgery, heart valve surgery (percutaneous), congenital heart disease;550 Peachtree Street NE, Atlanta, 30308;404-686-2513
Thoracic & Cardiac Surgery;Michael E. Halkos, MD;Emory Cardiothoracic Surgery; Emory Saint Joseph’s Hospital, Emory University Hospital; cardiac surgery, aneurysm, minimally invasive cardiac surgery;5665 Peachtree Dunwoody Road, Suite 200, Atlanta, 30342;404-778-7200
Psychiatry;Carrie R. Poline, DO;Century Springs East; eating disorders, child and adolescent psychiatry, anxiety and mood disorders, behavioral disorders;;6100 Lake Forrest Drive, Suite 330, Atlanta, 30328;404-220-8022
Psychiatry;Branko Radulovacki, MD;; dual diagnosis, depression, bipolar/mood disorders, anxiety disorders;;2849 Paces Ferry Road, Overlook 1, Suite 610, Atlanta, 30339;770-434-5833
Surgery;John P. Daly, MD;North Atlanta Surgical Associates; Northside Hospital, Emory Saint Joseph’s Hospital; laparoscopic surgery (advanced), bariatric/obesity surgery, breast cancer and surgery, gastroesophageal reflux disease (GERD);980 Johnson Ferry Road NE, Suite 760, Atlanta, 30342;404-252-0433
Surgery;Keith A. Delman, MD;Department of Surgical Oncology; Emory University Hospital; melanoma, skin cancer, sarcoma (soft tissue), Merkel cell carcinoma;Emory Clinic, 1365 Clifton Road NE, Building C, Floor 2, Atlanta, 30322;404-778-3307
Plastic Surgery;Myla N. Bennett, MD;Ederra Bella Plastic Surgery; Northside Hospital, Northside Hospital Forsyth; breast cosmetic and reconstructive surgery, abdominoplasty, liposuction, facial cosmetic surgery;10700 Medlock Bridge Road, Suite 104, Johns Creek, 30097;678-325-0006
Plastic Surgery;Lisa B. Bootstaylor, MD;Body Esthetics; Northside Hospital, Emory University Hospital Midtown; gynecomastia;285 Boulevard NE, Suite 345B, Atlanta, 30312;404-240-2804
Pediatric Nephrology;Laurence A. Greenbaum, MD, PhD;Children’s Physician Group, Nephrology; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; nephrotic syndrome, kidney disease (chronic), hemolytic Uremic syndrome, cystinosis;1400 Tullie Road NE, Atlanta, 30322;404-785-5437
Pediatric Nephrology;Stephanie M. Jernigan, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; kidney disease, dialysis care, transplant medicine (kidney);Children’s Specialty Services, 2015 Uppergate Drive NE, Atlanta, 30322;404-785-5437
Pediatric Infectious Disease;Andrea L. Shane, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston;;2015 Uppergate Drive NE, Children’s Specialty Services, Atlanta, 30322;404-785-5437
Physical Medicine & Rehabilitation;David T. Burke, MD;Emory Clinic at Executive Park, Center for Rehabilitation Medicine; Emory University Hospital, Emory University Hospital Midtown; brain injury rehabilitation;12 Executive Park Drive NE, Atlanta, 30329;404-778-5770
Physical Medicine & Rehabilitation;Richard W. King Jr., MD;HyOx Medical Treatment Center; Wellstar Windy Hill Hospital, Wellstar Cobb Hospital; wound care, hyperbaric medicine;2550 Windy Hill Road, Suite 110, Marietta, 30067;678-303-3200
Pediatric Hematology-Oncology;Sharon M. Castellino, MD;Aflac Cancer & Blood Disorders Center; Children’s Healthcare of Atlanta at Scottish Rite, Children’s Healthcare of Atlanta at Egleston; cancer survivors (late effects of therapy), leukemia, lymphoma;5461 Meridian Mark Road NE, Suite 400, Atlanta, 30342;404-785-3240
Pediatric Hematology-Oncology;Beatrice E. Gee, MD;Aflac Cancer & Blood Disorders Center; Children’s Healthcare of Atlanta at Hughes Spalding, Children’s Healthcare of Atlanta at Scottish Rite; sickle cell disease, bleeding/coagulation disorders, hematologic disorders;35 Jesse Hill Junior Drive SE, Atlanta, 30303;404-785-9800
Pediatric Gastroenterology;Stanley A. Cohen, MD;GI Care for Kids; Children’s Healthcare of Atlanta at Scottish Rite; Crohn’s disease, ulcerative colitis, nutrition, digestive disorders;993D Johnson Ferry Road NE, Suite 440, Atlanta, 30342;404-257-0799
Pediatric Gastroenterology;Benjamin D. Gold, MD;GI Care for Kids; Children’s Healthcare of Atlanta at Scottish Rite; gastroesophageal reflux disease (GERD), inflammatory bowel disease;993D Johnson Ferry Road NE, Suite 440, Atlanta, 30342;404-257-0799
Pediatric Endocrinology;Lillian R. Meacham, MD;Aflac Cancer & Blood Disorders Center; Children’s Healthcare of Atlanta at Scottish Rite, Children’s Healthcare of Atlanta at Egleston; growth disorders in childhood cancer, cancer survivors (late effects of therapy);5461 Meridian Mark Road NE, Suite 400, Atlanta, 30342;404-785-1717
Pediatric Endocrinology;Andrew B. Muir, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; diabetes, obesity, growth/development disorders;2015 Uppergate Drive NE, Children’s Specialty Services, Atlanta, 30322;404-785-5437
Pediatric Cardiology;Robert M. Campbell, MD;Sibley Heart Center Cardiology; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; arrhythmias, cardiac catheterization, hypertrophic cardiomyopathy, congenital heart disease;2835 Brandywine Road, Suite 400, Atlanta, 30341;404-256-2593
Pain Medicine;Rodrigo A. Duralde, MD;Pain Consultants of Atlanta; Piedmont Atlanta Hospital; pain (back and neck, cancer, spine);1800 Peachtree Road, Suite 750, Atlanta, 30309;404-351-7654
Rheumatology;Kelly O. Weselman, MD;Wellstar Medical Group, Rheumatology; Wellstar Cobb Hospital;;4441 Atlanta Road SE, Suite 315, Smyrna, 30080;770-333-2035
Orthopaedic Surgery;Charles A. DeCook, MD;Arthritis & Total Joint Specialists; Northside Hospital Forsyth; hip and knee replacement;2000 Howard Farm Drive, Suite 200, Cumming, 30041;770-292-6500
Orthopaedic Surgery;Damien A. Doute, MD;Spine & Orthopaedics of Atlanta; Emory Decatur Hospital, Northside Hospital; spinal disorders, spinal surgery, spinal disorders (degenerative), spinal trauma;1462 Montreal Road W, Suite 218, Tucker, 30084;470-294-0863
Pediatric Otolaryngology;James Andrew Sipp, MD;Peach Pediatric ENT; Children’s Healthcare of Atlanta at Egleston, Northside Hospital;;3280 Howell Mill Road, Suite 309, Atlanta, 30327;404-591-1426
Pediatric Otolaryngology;Melissa M. Statham, MD;Atlanta Institute for ENT; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; airway disorders, voice disorders, laryngeal disorders, sleep apnea;3333 Old Milton Parkway, Suite 520, Alpharetta, 30005;770-777-1100
Reproductive Endocrinology/Infertility;Anne B. Namnoum, MD;Shady Grove Fertility Atlanta; Northside Hospital; infertility (IVF), women’s health, endometriosis;5445 Meridian Mark Road, Suite 270, Atlanta, 30342;404-843-2229
Vascular Surgery;Siddharth A. Patel, MD;Northside Vascular Surgery; Northside Hospital, Northside Hospital Forsyth; peripheral vascular disease, cerebrovascular disease, aortic surgery, varicose veins;980 Johnson Ferry Road, Suite 1040, Atlanta, 30342;770-292-3490
Vascular Surgery;J. Mark Rheudasil, MD;Emory Clinic Vascular Surgery; Emory Saint Joseph’s Hospital, Northside Hospital; vein disorders, varicose veins;5673 Peachtree Dunwoody Road, Suite 675, Atlanta, 30342;678-843-5400
Radiation Oncology;Mark W. McCord, MD;Atlanta Oncology Associates; Northside Hospital;;1136 Cleveland Avenue, Suite 119, East Point, 30344;404-419-1830
Radiation Oncology;Tracy L. McElveen, MD;Radiotherapy Clinics of Georgia; Eastside Medical Center; breast cancer, gynecologic cancers;1770 Presidential Circle, Snellville, 30078;770-979-3705
Cardiac Electrophysiology;Bryan T. Piedad, MD;Wellstar Medical Group; Wellstar Kennestone Hospital, Wellstar Cobb Hospital; arrhythmias, pacemaker/defibrillators, atrial fibrillation, ventricular tachycardia ablation;55 Whitcher Street, Suite 430, Marietta, 30060;770-424-6893
Cardiac Electrophysiology;Michael J. Riley, MD;Wellstar Medical Group Cardiovascular Medicine; Wellstar Kennestone Hospital, Wellstar Douglas Hospital; arrhythmias;120 Stonebridge Parkway, Suite 110, Woodstock, 30189;678-324-4400
Dermatology;Candance Kimbrough-Green, MD;Dermatology & Surgery Specialists of North Atlanta; Piedmont Atlanta Hospital; medical dermatology, cosmetic dermatology, dermatologic surgery;4800 Olde Towne Parkway, Suite 250, Marietta, 30068;770-971-3376
Dermatology;J. Ellen Koo, MD;Atlanta North Dermatology; medical dermatology, dermatologic surgery, cosmetic dermatology;;100 Stone Forest Drive, Suite 320, Woodstock, 30189;615-250-9200
Pulmonary Disease;Micah R. Fisher, MD;Department of Pulmonology; Emory University Hospital, Emory University Hospital Midtown; pulmonary hypertension;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-3261
Pulmonary Disease;Eric L. Flenaugh, MD;Pulmonary & Critical Care Medicine; Grady Memorial Hospital;;Grady Memorial Hospital, 80 Jesse Hill Jr. Drive SE, Atlanta, 30303;404-616-1000
Urology;Lawrence M. Goldstone, MD;Georgia Urology; Northside Hospital, Emory Johns Creek Hospital; prostate cancer, infertility (male), reconstructive surgery, microsurgery;5730 Glenridge Drive, Suite 200, Atlanta, 30328;404-256-1844
Urology;Froylan Gonzalez, MD;Georgia Urology; Northside Hospital Cherokee; kidney stones, prostate benign disease (BPH), urologic cancer, minimally invasive urologic surgery;470 Northside Cherokee Boulevard, Suite 210, Canton, 30115;770-429-9100
Gastroenterology;Mubashar Munir, MD;Atlanta Gastroenterology Associates; Piedmont Newnan Hospital; endoscopy, pancreatic/biliary endoscopy (ERCP);1200 Lower Fayetteville Road, Suite B, Newnan, 30265;678-631-4610
Gastroenterology;Muhamad Kamil Obideen, MD;Atlanta Gastroenterology Associates; Northside Hospital Forsyth, Wellstar North Fulton Hospital; pancreatic and biliary disease;1505 Northside Boulevard, Suite 2000, Cumming, 30041;770-781-4010
Pediatrics;Hugo A. Scornik, MD;Conyers Pediatrics; Children’s Healthcare of Atlanta at Egleston, Piedmont Rockdale Hospital;;1277B Wellbrook Circle, Conyers, 30012;770-922-5745
Pediatrics;Julie A. Segal, MD;Children’s Wellness Center; obesity, weight management, breastfeeding;;755 Mount Vernon Highway NE, Suite 150, Atlanta, 30328;404-303-1314
Internal Medicine;Lonnie Herzog, MD;Primary Care Physicians of Atlanta; Northside Hospital, Emory Saint Joseph’s Hospital; preventive medicine;5670 Peachtree Dunwoody Road, Suite 1200, Atlanta, 30342;404-255-9100
Internal Medicine;Joel T. Isom, MD;NeighborMD Atlanta; Wellstar Atlanta Medical Center, Emory University Hospital; preventive medicine, hypertension, diabetes, cholesterol/lipid disorders;285 Boulevard NE, Suite 435, Atlanta, 30312;404-222-9914
Endocrinology, Diabetes & Metabolism;John H. Reed III, MD;Southeastern Endocrine & Diabetes; Northside Hospital, Emory Saint Joseph’s Hospital; diabetes;1475 Holcomb Bridge Road, Suite 129, Roswell, 30076;678-325-2250
Obstetrics & Gynecology;Karen Creed, MD;Women’s Health Associates; Northside Hospital;;980 Johnson Ferry Road NE, Suite 720, Atlanta, 30342;404-252-3898
Obstetrics & Gynecology;Agena R. Davenport-Nicholson, MD;Emory University Hospital Midtown; Emory University Hospital Midtown;;550 Peachtree Street NE, Medical Office Tower, Floor 8, Atlanta, 30308;404-778-3401
Cardiovascular Disease;Stephen C. Frohwein, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital;;5671 Peachtree Dunwoody Road, Suite 300, Atlanta, 30342;404-778-5299
Cardiovascular Disease;Mindy B. Gentry, MD;Wellstar Medical Group Cardiovascular Medicine; Wellstar Kennestone Hospital; cardiac imaging, heart disease in women, heart disease in pregnancy;3747 Roswell Road NE, Suite 213, Marietta, 30062;770-321-3490
Thoracic & Cardiac Surgery;Kirk R. Kanter, MD;Cardiothoracic Surgery; Children’s Healthcare of Atlanta at Egleston, Emory University Hospital; pediatric cardiac surgery, transplant (heart, pediatric), transplant (lung, pediatric);Children’s Healthcare of Atlanta, 1405 Clifton Road NE, Floor 2, Atlanta, 30322;404-785-6330
Surgery;Iqbal S. Garcha, MD;Surgical Specialists of Atlanta; Northside Hospital; breast cancer and surgery, endocrine surgery, gallbladder surgery, gastrointestinal surgery;3400 Old Milton Parkway, Building C, Suite 440, Alpharetta, 30005;678-297-9707
Plastic Surgery;Donald J. Campbell, MD;Northeast Georgia Plastic Surgery Associates; Northeast Georgia Medical Center; cosmetic and reconstructive surgery, facial plastic surgery, body contouring after weight loss, breast revision;1296 Sims Street NE, Suite B, Gainesville, 30501;770-534-1856
Physical Medicine & Rehabilitation;Shane Mangrum, MD;Polaris Spine & Neurosurgery Center; Northside Hospital; pain (spine and chronic), acupuncture,  sports medicine;1150 Hammond Drive, East Building, Suite 400, Atlanta, 30328;404-256-2633
Pediatric Hematology-Oncology;Frank G. Keller Jr., MD;Aflac Cancer & Blood Disorders Center; Children’s Healthcare of Atlanta at Egleston; leukemia, Hodgkin’s lymphoma;1405 Clifton Road NE, Atlanta, 30322;404-785-1200
Pediatric Gastroenterology;Jeffery D. Lewis, MD;GI Care for Kids; Children’s Healthcare of Atlanta at Scottish Rite; gastrointestinal disorders, celiac disease, eosinophilic esophagitis, ulcerative colitis/Crohn’s disease;993D Johnson Ferry Road NE, Suite 440, Atlanta, 30342;404-257-0799
Pediatric Cardiology;Martha L. Clabby, MD;Sibley Heart Center Cardiology; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; congenital heart disease;2835 Brandywine Road, Suite 400, Atlanta, 30341;404-256-2593
Pain Medicine;David W. Gale, MD;Alliance Spine & Pain Centers; Wellstar Kennestone Hospital, Piedmont Atlanta Hospital; pain (interventional techniques, neuropathic, spine, chronic);400 Tower Road, Suite 350, Marietta, 30060;770-929-9033
Pain Medicine;Allen H. Hord, MD;Alliance Spine & Pain Centers; Piedmont Atlanta Hospital, Piedmont Rockdale Hospital; pain (interventional techniques, chronic, back and neck), sciatica;2061 Peachtree Road NE, Suite 225, Atlanta, 30309;770-929-9033
Orthopaedic Surgery;Xavier A. Duralde, MD;Peachtree Orthopedics; Northside Hospital, Piedmont Atlanta Hospital; shoulder surgery, rotator cuff surgery, sports medicine, arthroscopic surgery;1901 Phoenix Boulevard, Suite 200, College Park, 30349;404-355-0743
Orthopaedic Surgery;Greg A. Erens, MD;Emory Orthopaedics & Spine Center; Emory University Orthopaedic & Spine Hospital, Emory University Hospital; hip and knee replacement and revision, hip replacement (anterior approach);59 Executive Park South NE, Atlanta, 30329;404-778-3350
Pediatric Otolaryngology;James R. Thomsen, MD;Pediatric Ear, Nose & Throat of Atlanta; Children’s Healthcare of Atlanta at Scottish Rite, Northside Hospital; hearing loss, airway disorders, sinus disorders;5461 Meridian Mark Road, Suite 130, Atlanta, 30342;404-255-2033
Reproductive Endocrinology/Infertility;Carla Roberts, MD, PhD;Reproductive Surgical Specialists; Northside Hospital Forsyth; endometriosis, reproductive surgery;1800 Northside Forsyth Drive, Suite 380, Cumming, 30041;770-292-2670
Reproductive Endocrinology/Infertility;Daniel B. Shapiro, MD;Reproductive Biology Associates; Northside Hospital, Piedmont Atlanta Hospital; infertility (IVF), egg and embryo freezing, fertility preservation;1100 Johnson Ferry Road NE, Suite 200, Atlanta, 30342;404-257-1900
Vascular Surgery;William W. Rose III, MD;Vascular Medicine & Surgery Specialist; Emory Decatur Hospital, Northside Hospital;;1462 Montreal Road, Suite 201, Tucker, 30084;404-299-6488
Vascular Surgery;Charles B. Ross, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital; endovascular surgery, carotid endarterectomy;95 Collier Road NW, Suite 2045, Atlanta, 30309;404-605-5110
