medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Internal Medicine;ABMS Internal Medicine;Holly C. Gooding, MD, MSc;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Boston Childrens Hospital;University of California San Francisco;Brigham and Women's Hospital;Brigham and Women's Hospital
Neurology;ABMS Internal Medicine;Jane L. Gilmore, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Michigan School of Medicine;University of Michigan Hospital and Health Centers;University of Michigan Hospitals
Urology;ABMS Urology;George M. Ghareeb, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Michigan State University College of Human Medicine;;University of Iowa Hospitals & Clinics
Abdominal Imaging;ABMS Radiology;Jacob D. Figner, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Philadelphia College of Osteopathic Medicine;Beaumont Farmington Hills;Beaumont Farmington Hills
Cardiovascular Disease;ABMS Internal Medicine;Jalal K. Ghali, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Mount Sinai Hospital;Damascus University Medical School;Cook County Hospital;Mount Sinai Hospital
Orthopedics;ABMS Orthopaedic Surgery;Michael B. Gottschalk, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Hospital for Joint Disease;University of Texas Health Science Center;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Keerthi  Gogineni, MD, MSHP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Hospital of the University of Pennsylvania;University of Maryland Medical Center;Hospital of the University of Pennsylvania;Hospital of the University of Pennsylvania
Nuclear Medicine;ABMS Nuclear Medicine;Erin E. Grady, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Washington School of Medicine;University of Oklahoma - Tulsa;Loyola University Medical Center
Cardiothoracic Vascular Surgery;ABMS Surgery;Felix G. Fernandez, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Barnes-Jewish Hospital;Wayne State University School of Medicine;;Barnes-Jewish Hospital
Maternal Fetal Medicine;ABMS Obstetrics/Gynecology;Terry I. Feng, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Johns Hopkins University School of Medicine;University of Miami School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Lisa C. Flowers, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Case Western Reserve University School of Medicine;Magee-Womens Hospital;Magee-Womens Hospital
Gastroenterology;ABMS Internal Medicine;Michael C. Flood, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Washington Hospital Center;Emory University School of Medicine;;Washington Hospital Center
Cardiology;ABMS Internal Medicine;Joel M. Felner, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Cincinnati College of Medicine;University of Cincinnati College of Medicine;Emory University School of Medicine
Ophthalmology;ABMS Ophthalmology;Alexis  Flowers, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Sidney Kimmel Medical College;Crozer-Chester Medical Center;Vanderbilt Eye Institute
Critical Care Medicine;ABMS Internal Medicine;Eric L. Flenaugh, MD FCCP;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;University of Texas Medical School at Houston;University of Texas Medical School at Houston;University of Texas Medical School at Houston;University of Texas Medical School at Houston
Internal Medicine;ABMS Internal Medicine;Marshall  Fleurant, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Harvard Medical School;Albert Einstein College of Medicine;;Thomas Jefferson University
Otolaryngology;ABMS Otolaryngology;Carrie E. Flanagan, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Minnesota;;University of Minnesota
Radiation Oncology;ABMS Radiology;Benjamin W. Fischer-Valuck, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Louisiana State University;University of Colorado Health Sciences;Washington University in St. Louis
Interventional Radiology;ABMS Radiology;Laura K. Findeiss, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Washington School of Medicine;University of Pittsburgh School of Medicine;;University of Tennessee
Diagnostic Radiology;ABMS Radiology;Peter D. Filev, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Duke University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Belete T. Feleke, MD;Male;;North Fulton Health Center;Grady;(404) 616-1000;;Gondar College of Medical Sciences;University of California, Davis;University of California, Davis
Dermatology;ABMS Dermatology;Ron J. Feldman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical University of South Carolina;;Cleveland Clinic
Diabetes & Metabolism;ABMS Internal Medicine;Maya  Fayfman, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Boston University School of Medicine;;Tufts University School of Medicine
Anesthesiology;ABMS Anesthesiology;Christina M. Faya, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco, Department of Anesthesia & Perioperative Care;Harvard Medical School;;University of California San Francisco, Department of Anesthesia & Perioperative Care
Clinical Neurophysiology;ABMS Psychiatry/Neurology;Raymond E. Faught, MD, FAAN, ABCN;Male;German;Grady Memorial Hospital;Emory;(404) 616-1000;University of Virginia Health Systems;Vanderbilt University College of Medicine;University of Virginia Medical Center;University of Virginia Health Systems
Internal Medicine;ABMS Internal Medicine;Shaheen  Fatima, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Windsor University School of Medicine (Cayon Campus);;Morehouse School of Medicine
Pediatric Hematology/Oncology;ABMS Pediatrics;Beatrice E. Gee, MD;Female;Cantonese;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital Boston;Tufts University School of Medicine;Children's Hospital Boston;Children's Hospital Boston
Medicine;ABMS Internal Medicine;Maura R. George, MD, FACP;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;Northwestern University The Feinberg School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Medical Toxicology;ABMS Pediatrics;Robert J. Geller, MD, FAAP, FAACT, FACMT;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Virginia Health Systems;Boston University School of Medicine;Medical College of Virginia Hospitals;Medical College of Virginia Hospitals
Anesthesiology;ABMS Anesthesiology;Raphael Y. Gershon, MD MBA;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Maryland School of Medicine;University of Maryland School of Medicine;University of Maryland School of Medicine;University of Maryland School of Medicine
Internal Medicine;;Lauren M. Gensler, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;
Neonatology;ABMS Pediatrics;Theresa W. Gauthier, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Thomas Jefferson University Hospital;University of Cincinnati College of Medicine;Medical Center of Delaware-Christiana Hospital;Delaware State Hospital
Radiation Oncology;ABMS Radiology;Heather G. Gatcombe, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University;;Emory University Hospital
Psychiatry;ABMS Psychiatry/Neurology;John O. Gaston, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Yale University School of Medicine;St. Raphael Hospital;Yale University School of Medicine
Pediatric Medicine;ABMS Pediatrics;Sher L. Gardner, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Univ of North Carolina at Chapel Hill;Emory University School of Medicine;Emory University School of Medicine
Rheumatology;ABMS Internal Medicine;Prateek C. Gandiga, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pennsylvania;UMDNJ-Robert Wood Johnson School of Medicine;Washington University School of Medicine;Washington University School of Medicine
Endocrinology, Diab-Met.;ABMS Internal Medicine;Rodolfo J. Galindo, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;North Shore University Hospital (Manhassett);University of Havana;Albert Einstein College of Medicine;Albert Einstein College of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Romeo R. Galang, MD, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Rochester School of Medicine & Dentistry;;Brigham and Women's Hospital
Urology;ABMS Urology;Christopher P. Filson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Michigan Medical School;University of Michigan Medical School;University of Michigan Hospitals and Health Center;University of Michigan Hospitals and Health Center
Infectious Disease;ABMS Internal Medicine;Rachel J. Friedman, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Wayne State University School of Medicine;;Emory University School of Medicine
Infectious Diseases;ABMS Internal Medicine;Mesfin G. Fransua, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Strong Memorial Hospital Rochester;Jimma Institute of Health Sciences;St. Barnabas Hospital (New York);St. Barnabas Hospital - NY
Pediatric Infectious Diseases;ABMS Pediatrics;Thomas  Fox, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;UT Southwestern Medical Center;University of North Dakota School of Medicine;;University of New Mexico Cancer Center
Emergency Medicine;ABMS Emergency Medicine;Nicole M. Franks, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Morehouse School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Cheryl G. Franklin, MD, MPH, FACOG;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Harvard Medical School;Ben Taub General Hospital;Strong Memorial Hospital Rochester
Neurology;ABMS Psychiatry/Neurology;Michael R. Frankel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Louisville School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Pediatrics;ABMS Pediatrics;Jennifer  Fowlkes-Callins, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;Meharry Medical College School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Claudia  Fotzeu Toukam, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;;;Morehouse School Of Medicine
Emergency Medicine;;Jordi A. Fonts, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Rush Medical College;;Emory University School of Medicine
Psychiatry;ABMS Preventive Medicine;Dimy  Fluyau, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Faculte Libre de Medicine;;Harlem Hospital Center
Plastic Surgery;ABMS Plastic Surgery;Robert C. Fang, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Medical College of Wisconsin Affiliated Hospitals;Medical College of Georgia;;University of Illinois College of Medicine
Pediatric Medicine;ABMS Pediatrics;Nancy N. Fajman, MD, MPH, MMSc;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Shelly-Ann N. Fluker, MD, FACP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Harvard Medical School;Brigham and Women's Hospital;Brigham and Women's Hospital
Internal Medicine;ABMS Internal Medicine;Hafiz E. Fadl, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Khartoum;WellStar Atlanta Medical Center;WellStar Atlanta Medical Center
Emergency Medicine;ABMS Internal Medicine;Mary Ellen  Evans, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Uniformed Services University of Health Science;Boston University Medical Center;Boston University Medical Center
Internal Medicine;ABMS Internal Medicine;Amaka K. Ezimora, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Lagos College of Medicine;;Meharry Medical College
Emergency Medicine;ABMS Emergency Medicine;Shamie  Das, MD, MBA, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wright State University, Boonshoft School of Medicine;;Emory University School of Medicine
Interventional Radiology;ABMS Radiology;Sean R. Dariushnia, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Ohio State University  College of Medicine;Mount Carmel Medical Center;Ohio State University Medical Center
Emergency Medicine;ABMS Emergency Medicine;Tamara R. Espinoza, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;UCLA;Georgetown University;Cook County Office of Risk Management
Anesthesiology;ABMS Anesthesiology;Abimbola  Faloye, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;James Eastwood, MD
Internal Medicine;ABMS Internal Medicine;Yohannes W. Endeshaw, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;Addis Ababa University;VA Commonwealth University;Virginia Commonwealth Health Systems
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Carrie A. Cwiak, MD, MPH;Female;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;;St. Louis University School of Medicine;University of Colorado School of Medicine;University of Connecticut Health Center
Radiation Oncology;ABMS Radiology;Tony Y. Eng, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Uniformed Services University of Health Science;Brooke Army Medical Center;University of California San Francisco, School of Medicine
Obstetrics/Gynecology;AOA Obstetrics/Gynecoology;Lynne  Cunningham, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Chicago Medical School;;John H. Stroger, Jr. Hospital of Cook County
Internal Medicine;ABMS Internal Medicine;Dokun Tobi Dairo, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Obaferni Awolowo;Mount Sinai School of Medicine;Mount Sinai School of Medicine
Orthopaedics;ABMS Orthopaedic Surgery;Charles A. Daly, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Union Memorial Hospital;Medical University of South Carolina;;Emory University School of Medicine
Pediatrics;ABMS Pediatrics;Chioma N. Emerole, MD;Female;;North Fulton Health Center;Grady;(404) 616-1000;;Emory University School of Medicine;;Louisiana State University at New Orleans School of Medicine
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Jane E. Ellis, MD, PhD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Diabetes & Metabolism;ABMS Internal Medicine;Martha L. Elks, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of North Carolina;Johns Hopkins University School of Medicine;Johns Hopkins Hospital
Medical Oncology;ABMS Internal Medicine;John W. Eley, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Medical Oncology;ABMS Internal Medicine;Bassel F. El-Rayes, MD;Male;Arabic;Grady Memorial Hospital;Emory;(404) 616-1000;Wayne State University School of Medicine;;;Wayne State University School of Medicine
Internal Medicine;ABMS Internal Medicine;Juliana De Fatima  Da Silva, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Baylor College of Medicine;Escola Paulista de Medicina;Einstein Medical Center;
Psychiatry;ABMS Psychiatry/Neurology;Sarah M. Debrey, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Rush Medical College;;Emory University
Emergency Medicine;ABMS Emergency Medicine;Anna K. Deal, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Eastern Virginia Medical School;Mercer University School of Medicine;Eastern Virginia Medical School;Eastern Virginia Medical School
Emergency Medicine;ABMS Emergency Medicine;Jonathan D. De Olano, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;New York University School of Medicine;Emory University;;New York University School of Medicine
Maternal Fetal Medicine;ABMS Obstetrics/Gynecology;Carolynn M. Dude, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pennsylvania;University of Wisconsin;UCLA Ronald Reagan;Duke University Medical Center
Family Medicine;ABMS Family Medicine;Anne L. Dunlop, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Mayo Medical School;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Daniel D. Dressler, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University;Emory University
Ophthalmology;ABMS Ophthalmology;Adam  De la Garza, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Iowa Hospital & Clinics;Wake Forest Baptist Medical Center;Spartanburg Regional Medical Center;Wake Forest School of Medicine
Diagnostic Radiology;ABMS Radiology;Carlo  De Cecco, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Medical University of South Carolina;Sapienza University;;
Trauma Surgery;;Rafael  De Ayala Hillman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Universidad Central del;;UNIVERSITY OF PUERTO RICO
Internal Medicine;ABMS Internal Medicine;Kevin P. Day, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Endocrinology, Diab-Met.;ABMS Internal Medicine;Georgia M. Davis, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Drexel University College of Medicine;University Hospital Case Medical;University Hospital Case Medical
Nephrology;ABMS Internal Medicine;John J. Doran, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Georgetown University;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;;Aarti  Duggal, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Mercer University School of Medicine;;
Emergency Medicine;ABMS Emergency Medicine;Christopher J. Dudley, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;UT Health Science Center, San Antonio;;Emory University School of Medicine
Dermatology;ABMS Dermatology;Salma F. De la Feld, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Brown Medical School;Brown Medical School;University of Alabama at Birmingham
Cardiovascular Disease/Cardiology;ABMS Internal Medicine;Allen L. Dollar, MD, FACC, FACP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington Hospital Center;University of Maryland School of Medicine;University of Maryland Medical Center;Washington Hospital Center
Diagnostic Radiology;ABMS Radiology;Karin  Dill, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Northwestern Hospital;Loyola Medical School;Lutheran General Hospital;Northwestern Hospital
Pediatric Radiology;ABMS Radiology;Paula N. Dickson, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical University of South Carolina College of Medicine;Greenville Hospital System;University of Maryland Medical System
Pediatric Infectious Diseases;ABMS Pediatrics;Lisa M. Cranmer, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;University of Washington School of Medicine;John Hopkins University School of Medicine;University of Washington School of Medicine;University of Washington School of Medicine
Rheumatology;ABMS Internal Medicine;Raluca L. Cozmuta, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;Universitatea De Medicina Si Farmacie Iuliu Hatieganu;;St. Vincent's Medical Center
Psychiatry;ABMS Psychiatry/Neurology;Nicole K. Cotton, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University;Morehouse School of Medicine;;Emory University
Dermatology;ABMS Dermatology;Gregory J. Cox, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Arkansas for Medical Sciences;Unversity Hospital of Arkansas;Emory University School of Medicine
Infectious Disease;ABMS Internal Medicine;Marcos  Coutinho Schechter, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;;Johns Hopkins Hospital;Johns Hopkins Hospital
Psychiatry & Neurology;ABMS Psychiatry/Neurology;Robert O. Cotes, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;West Virginia University School of Medicine;;Dartmouth-Hitchcock Medical Center
Ophthalmology;ABMS Ophthalmology;Anastasios P. Costarides, MD;Male;Greek;Grady Memorial Hospital;Emory;(404) 616-1000;Wills Eye Hospital;Emory University School of Medicine;University of Alabama at Birmingham;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Renee E. Corley, MD;Female;;Camp Creek Comprehensive Care Center;Grady;(404) 616-1000;;Howard University College of Medicine;Mountainside Hospital;University of Maryland Medical Center
Psychiatry;ABMS Psychiatry/Neurology;Sarah C. Cook, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Emory University School of Medicine
Breast Imaging;;Jesse M. Conyers, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of North Carolina at Chapel Hill;University of Texas Southwestern;University of Texas Southwestern
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Lesley  Conrad, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;UT Southwestern Medical Center (Fellowship);LSU School of Medicine;;LSU Health Sciences Center School of Medicine
Nephrology;AOA Internal Medicine;Michael J. Connor, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cleveland Clinic;Medical College of Georgia;;Warren Alpert Medical School of Brown University
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Saladin A.T. Cooper, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Drexel University College of Medicine;;University of Kansas School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Brian K. Cooke, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;Saint Louis University;;University of Maryland
Emergency Medicine;ABMS Emergency Medicine;Nick E. Colovos, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Miami School of Medicine;;St. Vincent Medical Center
Infectious Disease;ABMS Internal Medicine;Jeffrey M. Collins, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University;Case Western Reserve University;University of Colorado Health Sciences;University of Colorado Health Sciences
Infectious Disease;ABMS Internal Medicine;Lauren F. Collins, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University Hospital;Boston University School of Medicine;;Duke University Medical Center
Infectious Disease;ABMS Internal Medicine;Jonathan A. Colasanti, MD, MSPH;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;University of Miami Miller;University of Miami-Jackson Memorial Hospital;University of Miami-Jackson Memorial Hospital
Diagnostic Radiology;ABMS Radiology;Michael A. Cohen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas Medical Branch at Galveston;Children's Hospital Boston;Beth Israel Deaconess Medical Center
Dental Medicine;;Marla O. Coleman, DDS;Female;;Ponce De Leon Center;Grady;(404) 616-1000;;;;
Surgery;ABMS Surgery;Christopher J. Dente, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical College of Pennsylvania;;Detroit Receiving Hospital and University Health Center
Cardiovascular Disease;ABMS Internal Medicine;John S. Douglas, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Washington University School of Medicine;University of North Carolina Hospitals;Grady Health System
Neonatology;ABMS Pediatrics;Patricia L. Denning, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital Boston;Baylor College of Medicine;;Baylor College of Medicine
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Michael M. Demo, DDS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Emory University School of Medicine
Infectious Disease;ABMS Internal Medicine;Carlos C. Del Rio, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Universidad Nacional Autonoma;Emory University School of Medicine;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Mark W. El-Deiry, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Washington School of Medicine;Rush Medical College;Swedish Hospital;University of Iowa Hospital & Clinics
Surgery;ABMS Surgery;Keith  Delman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;MD Anderson Cancer Center;SUNY at Stony Brook University Medical Center;Montefiore Medical Center;Albert Einstein College of Medicine
Medical Oncology;ABMS Internal Medicine;Fuad  El Rassi, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;American University of Beirut;;Saint Louis Univeristy School of Medicine
Interventional Radiology;ABMS Radiology;Faramarz  Edalat, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Brown University Lifespan;Boston University School of Medicine;Boston Medical Center;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Balsam S. El Hammali, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;;Morehouse School Of Medicine;Morehouse School Of Medicine
Radiation Oncology;ABMS Radiology;Bree R. Eaton, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Medical University of South Carolina;Emory University Hospital;Emory University Hospital
Orthopaedics;;John J. Eager, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Univeristy of Texas Medical Branch at Galveston;;University of Texas Health Science
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Donald A. Culley, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Albert Einstein College of Medicine;;Kings County Hospital Center
Abdominal Imaging;ABMS Radiology;Linton  Eberhardt, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Alabama;Medical College of Georgia;Baptist Health Systems;University of Alabama
Pediatric Neurology;ABMS Pediatrics;Monideep  Dutt, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Nilratan Sircar;;Flushing Hospital Medical Center
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Giuseppe  Del Priore, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Strong Memorial Hospital - Rochester;SUNY Downstate Medical Center;;Northwestern University
Diagnostic Radiology;ABMS Radiology;Paul  Cronin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Michigan Health System;University of Dublin, Trinity;;Federal Dublin Voluntary Hospitals James Street
Psychiatry;ABMS Psychiatry/Neurology;Andrea L. Crowell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Stanford University School of Medicine;;Emory Univeristy School of Medicine
Interventional Radiology;ABMS Radiology;Mircea  Cristescu, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Icahm School of Medicine at Mt. Sinai;University of Miami School of Medicine;University of Wisconsin Hospital and Clinics;University of Wisconsin Hospital and Clinics
Ophthalmology;ABMS Ophthalmology;Blaine E. Cribbs, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;UCLA School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Pulmonary & Critical Care;ABMS Internal Medicine;Sushma K. Cribbs, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Boston University School of Medicine;;Emory University School of Medicine
Cardiology;ABMS Internal Medicine;Melvin R. Echols, MD, FACC;Male;;Camp Creek Comprehensive Care Center;Morehouse;(404) 616-1000;UT Southwestern Medical Center (Fellowship);Morehouse School of Medicine;Mayo Clinic College of Medicine;Mayo Clinic College of Medicine
Neurology;ABMS Psychiatry/Neurology;Brendan T. Eby, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University Hospital;University of Alabama at Birmingham;;Washington University /Barnes
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Yvonka  Crenshaw, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Medical College of Georgia;;Franklin Square Center
Internal Medicine;ABMS Internal Medicine;Marvin L. Crawford, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Iowa College of Medicine;Medical College of Georgia;Medical College of Georgia
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Carla E. Crawford, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;Albert Einstein College of Medicine;;St. Luke's-Rosavelt Hospital Center
