"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Alexandra L Pierret","Family Medicine","Beaumont Hospital, Royal Oak","6","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe","4.8 out of 5"
"Nancy F Mansour-Habib","Family Medicine","Beaumont Hospital, Troy","","Female","Arabic English","Pediatrics Teenagers Adults Geriatrics","Saginaw Cooperative Hospitals",""
"Sameer Sawalha","Internal Medicine","Beaumont Hospital, Dearborn","33","Male","Arabic English Russian","Adults Geriatrics","St. Michael's Medical Center",""
"Heather G Cadena","Pediatrics","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers","Wayne State University/DMC",""
"Christa Shilling","Pediatrics","Beaumont Hospital, Royal Oak","22","Female","English German","Newborns Pediatrics Teenagers","University of Michigan Hospitals and Health Centers",""
"Joseph L. Williams","Family Medicine","Beaumont Hospital, Farmington Hills","29","Male","English Portuguese Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Pavani Kolli","Internal Medicine","Beaumont Hospital, Dearborn","27","Female","English Telugu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Jonathan D Copeland","Family Medicine","Beaumont Hospital, Royal Oak","15","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Jairaj D Mulchandani","Internal Medicine","Beaumont Hospital, Dearborn","47","Male","English Gujarati Hindi Marathi Sindhi","Adults Geriatrics","Wayne State University School of Medicine",""
"Anthony J Sayegh","Family Medicine","Beaumont Hospital, Royal Oak","18","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Parag Pravin Patel","Family Medicine","Beaumont Hospital, Troy","19","Male","English Gujarati","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine",""
"Frederick M Karoub","Internal Medicine","Beaumont Hospital, Royal Oak","29","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Danilo A Dona","Family Medicine","Beaumont Hospital, Trenton","49","Male","English Tagalog","Newborns Pediatrics Teenagers Adults Geriatrics","Grace Hospital",""
"Joel M Moses","Pediatrics","Beaumont Hospital, Dearborn","30","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan",""
"Maan Askar","Family Medicine","Beaumont Hospital, Troy","37","Male","Arabic English","Adults Geriatrics","Al-Mustansiriya Medical School - Iraq",""
"Lawrence E Blase","Internal Medicine","Beaumont Hospital, Royal Oak","35","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Nathan J Bloch","Family Medicine","Beaumont Hospital, Farmington Hills","25","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Zinaida O Laska-Sobol","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Ukrainian","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Jaime L Dreyer-Laezza","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Varsha S Revankar","Internal Medicine","Beaumont Hospital, Royal Oak","27","Female","English Hindi Kannada Marathi","Adults","University of Texas Southwestern Medical Center",""
"Colleen M Kennedy","Family Medicine","Beaumont Hospital, Troy","27","Female","English","Newborns Pediatrics Teenagers Adults","Beaumont Hospital, Troy",""
"Nancy F Mansour-Habib","Family Medicine","Beaumont Hospital, Troy","","Female","Arabic English","Pediatrics Teenagers Adults Geriatrics","Saginaw Cooperative Hospitals",""
"Shruti Ramakrishna","Family Medicine","Beaumont Hospital, Grosse Pointe","8","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.9 out of 5"
"Muna A Beeai","Internal Medicine","Beaumont Hospital, Grosse Pointe","35","Female","Arabic English","Adults","Sinai Hospital of Detroit","4.7 out of 5"
"Nutan Saxena","Pediatrics","Beaumont Hospital, Dearborn","49","Female","English Hindi","Newborns Pediatrics Teenagers","Grace Hospital","4.7 out of 5"
"Normita D Vicencio","Internal Medicine","Beaumont Hospital, Wayne","56","Female","English","Adults Geriatrics","VA Hospital, East Orange, New Jersey",""
"Steven D Zalla","Family Medicine","Beaumont Hospital, Troy","27","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sinai Hospital of Detroit",""
"Michael S Schaeffer","Internal Medicine","Beaumont Hospital, Wayne","26","Male","English","Teenagers Adults","Beaumont Hospital, Dearborn","4.8 out of 5"
"Durdana T Rehman","Pediatrics","Beaumont Hospital, Royal Oak","29","Female","English Hindi Urdu","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Muhammad Wasiullah","Internal Medicine","Beaumont Hospital, Dearborn","31","Male","English Hindi Urdu","Adults Geriatrics","University of Illinois College of Medicine",""
"William P. Prechel","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","Arabic English Polish Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Rebecca Kay Wegner","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Ladan Amini-Oroumi","Internal Medicine","Beaumont Hospital, Trenton","31","Female","English Farsi Turkish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Kirti A Jain","Family Medicine","Beaumont Hospital, Dearborn","32","Female","English Hindi Marwari","Newborns Pediatrics Teenagers Adults Geriatrics","North Oakland Medical Center",""
"Barbara J Falkell","Internal Medicine","Beaumont Hospital, Royal Oak","25","Female","English","Pediatrics Teenagers Adults Geriatrics","Children's Hospital of Michigan - DMC","4.7 out of 5"
"Jerald A Purifoy","Pediatrics","Beaumont Hospital, Taylor","","Male","English German","Newborns Pediatrics Teenagers","Duke University Medical Center","4.8 out of 5"
"Tamer N Massarani","Pediatrics","Beaumont Hospital, Royal Oak","38","Male","Arabic English French","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Jurin Boriboon","Pediatrics","Beaumont Hospital, Dearborn","54","Male","English Thai","Newborns Pediatrics Teenagers","Children's Hospital of Michigan",""
"Anna M Hehl-Bisson","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Kyle Bronsteen","Family Medicine","Beaumont Hospital, Farmington Hills","5","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Western Michigan University Homer Stryker MD School of Medicine","4.8 out of 5"
"Susan E Sauber","Pediatrics","Beaumont Hospital, Royal Oak","36","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"John Slaim","Family Medicine","Beaumont Hospital, Taylor","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.9 out of 5"
"Steven G Kotsonis","Family Medicine","Beaumont Hospital, Troy","26","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Douglas R Grucz","Family Medicine","Beaumont Hospital, Wayne","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean","4.7 out of 5"
"Robert M Blum","Pediatrics","Beaumont Hospital, Royal Oak","31","Male","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Lynda C Rayos","Family Medicine","Beaumont Hospital, Farmington Hills","25","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Jennifer Cohen","Pediatrics","Beaumont Hospital, Royal Oak","19","Female","English","Newborns Pediatrics Teenagers","New York Presbyterian Hospital - Weill Cornell Medical Center",""
"Nicole L Mahoney","Pediatrics","Beaumont Hospital, Royal Oak","24","Female","English","Pediatrics","Northwestern Children's Memorial Hospital",""
"Jonathan Lovy","Internal Medicine","Beaumont Hospital, Trenton","25","Male","English","Teenagers Adults Geriatrics","Rush-Presbyterian-St. Luke's Medical Center",""
"Sandra S Lerner","Family Medicine","Beaumont Hospital, Royal Oak","19","Female","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Macomb-Oakland Hospital, Warren Campus","4.7 out of 5"
"Katherine H Urek","Family Medicine","Beaumont Hospital, Troy","11","Female","English","Pediatrics Teenagers Adults","Beaumont Hospital, Troy","4.8 out of 5"
"Jerald A Purifoy","Pediatrics","Beaumont Hospital, Taylor","","Male","English German","Newborns Pediatrics Teenagers","Duke University Medical Center","4.8 out of 5"
"Herminia P Bierema","Pediatrics","Beaumont Hospital, Troy","37","Female","English Spanish","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Muna A Beeai","Internal Medicine","Beaumont Hospital, Grosse Pointe","35","Female","Arabic English","Adults","Sinai Hospital of Detroit","4.7 out of 5"
"Pamela Pirzada","Family Medicine","Beaumont Hospital, Royal Oak","23","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Nutan Saxena","Pediatrics","Beaumont Hospital, Dearborn","49","Female","English Hindi","Newborns Pediatrics Teenagers","Grace Hospital","4.7 out of 5"
"Normita D Vicencio","Internal Medicine","Beaumont Hospital, Wayne","56","Female","English","Adults Geriatrics","VA Hospital, East Orange, New Jersey",""
"Christina L Benkert","Family Medicine","Beaumont Hospital, Taylor","6","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Hanit Kalo","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English Hebrew","Newborns Pediatrics Teenagers","New York Univ Medical Center",""
"Robert M Ricketts","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Alexandra L Pierret","Family Medicine","Beaumont Hospital, Royal Oak","6","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe","4.8 out of 5"
"Sameer Sawalha","Internal Medicine","Beaumont Hospital, Dearborn","33","Male","Arabic English Russian","Adults Geriatrics","St. Michael's Medical Center",""
"Steven D Zalla","Family Medicine","Beaumont Hospital, Troy","27","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sinai Hospital of Detroit",""
"Britani A Marshall","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center (Michigan)","4.8 out of 5"
"Hayley R Schafer","Pediatrics","Beaumont Hospital, Royal Oak","10","Female","English","Newborns Pediatrics Teenagers","Northwestern University, Lurie Children's Hospital",""
"Sasi B Boppana","Internal Medicine","Beaumont Hospital, Wayne","","Male","English","Adults Geriatrics","Interfaith Medical Center",""
"Kamran F Sheikh","Family Medicine","Beaumont Hospital, Farmington Hills","33","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine (Michigan)",""
"Joyce M Yeghissian","Internal Medicine","Beaumont Hospital, Royal Oak","36","Female","Armenian English","Adults Geriatrics","Henry Ford Hospital",""
"Erik M Weitz","Family Medicine","Beaumont Hospital, Grosse Pointe","6","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
"Martin Erickson","Family Medicine","Beaumont Hospital, Farmington Hills","21","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakland General Hospital (St John Oakland)",""
"Jerome Sitner","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Ehab R Morsi","Pediatrics","Beaumont Hospital, Dearborn","28","Male","Arabic English","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Avtar S Sekhon","Family Medicine","Beaumont Hospital, Trenton","","Male","English Hindi Punjabi","Newborns Pediatrics Teenagers Adults Geriatrics","Wyoming Valley Health Care System, Inc.",""
"Neethi R Patel","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","DeVos Children's Hospital",""
"Sham M Juratli","Family Medicine","Beaumont Hospital, Dearborn","16","Female","Arabic English","Teenagers Adults Geriatrics","University of Washington Medicine",""
"Karen L Weaver","Family Medicine","Beaumont Hospital, Dearborn","","Female","English French","Pediatrics Teenagers Adults Geriatrics","Duke University Medical Center","4.7 out of 5"
"Michael L. Fox","Addiction Medicine","Beaumont Hospital, Farmington Hills","45","Male","English","Teenagers Adults Geriatrics","Martin Place Hospital (Oakland General Hospital)",""
"Maria M Wozniak","Pediatrics","Beaumont Hospital, Royal Oak","39","Female","English Polish","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Anna G Strumba","Pediatrics","Beaumont Hospital, Royal Oak","26","Female","English Russian","Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Mariam A Qureshi","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Urdu","Newborns Pediatrics Teenagers","Children's Hospital of Michigan","4.7 out of 5"
"Colleen M Kennedy","Family Medicine","Beaumont Hospital, Troy","27","Female","English","Newborns Pediatrics Teenagers Adults","Beaumont Hospital, Troy",""
"Varsha S Revankar","Internal Medicine","Beaumont Hospital, Royal Oak","27","Female","English Hindi Kannada Marathi","Adults","University of Texas Southwestern Medical Center",""
"Jaime L Dreyer-Laezza","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Denise M Lippitt","Pediatrics","Beaumont Hospital, Royal Oak","27","Female","English Portuguese Spanish","Newborns Pediatrics Teenagers","Northwestern University, Lurie Children's Hospital",""
"David J Everingham","Family Medicine","Beaumont Hospital, Wayne","","Male","English","Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital","4.7 out of 5"
"Benjamin M Rossi","Internal Medicine","Beaumont Hospital, Farmington Hills","18","Male","English Spanish","Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Alexis R Balomenos","Pediatrics","Beaumont Hospital, Grosse Pointe","26","Female","English","Pediatrics Teenagers","St John Hospital & Medical Center",""
"Anthony P Brooks","Family Medicine","Beaumont Hospital, Dearborn","4","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Raj A Goswami","Addiction Medicine","Beaumont Hospital, Dearborn","21","Male","English Hindi","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Melissa L Jennings","Family Medicine","Beaumont Hospital, Dearborn","5","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.6 out of 5"
"Stewart L Baroff","Internal Medicine","Beaumont Hospital, Farmington Hills","31","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Adele P Schweller","Pediatrics","Beaumont Hospital, Wayne","7","Female","English","Newborns Pediatrics Teenagers","Charleston Area Medical Center/West Virginia University","4.7 out of 5"
"Helen S Economy","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Jerry Uzansky","Family Medicine","Beaumont Hospital, Farmington Hills","58","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"John Slaim","Family Medicine","Beaumont Hospital, Taylor","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.9 out of 5"
"Susan E Sauber","Pediatrics","Beaumont Hospital, Royal Oak","36","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Srinivas R Gatla","Internal Medicine","Beaumont Hospital, Dearborn","28","Male","Arabic English Hindi Telugu","Teenagers Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Anna M Hehl-Bisson","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Rana Khoury","Family Medicine","Beaumont Hospital, Dearborn","33","Female","Arabic English French","Newborns Pediatrics Teenagers Adults Geriatrics","North Oakland Medical Center",""
"Jerald A Purifoy","Pediatrics","Beaumont Hospital, Taylor","","Male","English German","Newborns Pediatrics Teenagers","Duke University Medical Center","4.8 out of 5"
"Munzer Samad","Family Medicine","Beaumont Hospital, Royal Oak","36","Male","English","Pediatrics Teenagers Adults Geriatrics","Sinai Hospital of Detroit",""
"Steven J Serra","Internal Medicine","Beaumont Hospital, Trenton","33","Male","English","Adults Geriatrics","Riverside Osteopathic Hospital",""
"Jonathan Lovy","Internal Medicine","Beaumont Hospital, Trenton","25","Male","English","Teenagers Adults Geriatrics","Rush-Presbyterian-St. Luke's Medical Center",""
"Frank A DiPonio","Family Medicine","Beaumont Hospital, Troy","","Male","English Italian","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan State University College of Osteopathic Medicine",""
"Mark W Sawka","Family Medicine","Beaumont Hospital, Trenton","34","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital/MSU",""
"Vincent Maribao","Internal Medicine","Beaumont Hospital, Grosse Pointe","27","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Xiaonan M Guo","Internal Medicine","Beaumont Hospital, Royal Oak","11","Female","Chinese - Mandarin English","Adults Geriatrics","Garden City Osteopathic Hospital",""
"Fayda N Zakaria","Family Medicine","Beaumont Hospital, Dearborn","27","Female","Arabic English","Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Douglas R Grucz","Family Medicine","Beaumont Hospital, Wayne","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean","4.7 out of 5"
"Renee K Afram","Family Medicine","Beaumont Hospital, Grosse Pointe","5","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak","4.8 out of 5"
"Ruzica Dzebo","Family Medicine","Beaumont Hospital, Grosse Pointe","15","Female","English Serbian","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.9 out of 5"
"Fadi Oska","Internal Medicine","Beaumont Hospital, Troy","29","Male","Arabic English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Jonathan Lovy","Internal Medicine","Beaumont Hospital, Trenton","25","Male","English","Teenagers Adults Geriatrics","Rush-Presbyterian-St. Luke's Medical Center",""
"Michael J Raad","Internal Medicine","Beaumont Hospital, Troy","37","Male","English","Adults Geriatrics","Bi-County Community Hospital",""
"Waseem G Petros","Internal Medicine","Beaumont Hospital, Royal Oak","23","Male","Arabic English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Steven M Hudock","Family Medicine","Beaumont Hospital, Troy","39","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Susan J Laurent","Pediatrics","Beaumont Hospital, Royal Oak","45","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"John A Vollmer","Family Medicine","Beaumont Hospital, Grosse Pointe","39","Male","English","Adults Geriatrics","St John Hospital & Medical Center","4.7 out of 5"
"Michael V Kurzawa","Family Medicine","Beaumont Hospital, Grosse Pointe","36","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.7 out of 5"
"Mark D Hannis","Internal Medicine","Beaumont Hospital, Dearborn","36","Male","English","Geriatrics","University of North Carolina at Chapel Hill","4.7 out of 5"
"Prameela N Patel","Family Medicine","Beaumont Hospital, Troy","20","Female","English Hindi Kannada","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean School of Medicine",""
"Laura L Warner","Pediatrics","Beaumont Hospital, Royal Oak","24","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Nesrene A Ghani","Internal Medicine","Beaumont Hospital, Dearborn","37","Female","Arabic English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Steven R Shepherd","Family Medicine","Beaumont Hospital, Troy","35","Male","English","Pediatrics Teenagers Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Pu Qin","Family Medicine","Beaumont Hospital, Royal Oak","38","Male","Chinese - Mandarin English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe","4.5 out of 5"
"Matteo Valenti","Internal Medicine","Beaumont Hospital, Farmington Hills","24","Male","English","Adults Geriatrics","McLaren - Macomb","4.8 out of 5"
"Rebecca E Wasvary","Pediatrics","Beaumont Hospital, Royal Oak","29","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Rana Khoury","Family Medicine","Beaumont Hospital, Dearborn","33","Female","Arabic English French","Newborns Pediatrics Teenagers Adults Geriatrics","North Oakland Medical Center",""
"Eric N. Coffman","Addiction Medicine","Beaumont Hospital, Farmington Hills","","Male","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Martin Place Hospital (Oakland General Hospital)",""
"Keith M. Tobin","Family Medicine","Beaumont Hospital, Farmington Hills","32","Male","English Polish Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Toni Ballitch Trate","Family Medicine","Beaumont Hospital, Farmington Hills","34","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Srinivas R Gatla","Internal Medicine","Beaumont Hospital, Dearborn","28","Male","Arabic English Hindi Telugu","Teenagers Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Izzat E Carouba","Internal Medicine","Beaumont Hospital, Royal Oak","22","Male","Arabic English French","Adults Geriatrics","East Carolina University/PIH County Memorial",""
"Ida J Rubino","Family Medicine","Beaumont Hospital, Troy","29","Female","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.8 out of 5"
"Tariq N Kakish","Internal Medicine","Beaumont Hospital, Royal Oak","25","Male","Arabic English","Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"John J Habicht","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"Ali Kaddoura","Internal Medicine","Beaumont Hospital, Dearborn","40","Male","Arabic Czech English French","Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"William P. Penn","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English French German Italian","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Michael G Burry","Family Medicine","Beaumont Hospital, Farmington Hills","25","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Mark Alrais","Family Medicine","Beaumont Hospital, Grosse Pointe","25","Male","Arabic Chaldean English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Najam K Syed","Internal Medicine","Beaumont Hospital, Dearborn","31","Male","English Hindi Kannada Urdu","Adults Geriatrics","Grace Hospital",""
"Letacia D Thomas","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Parmod Jindal","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean",""
"Fayda N Zakaria","Family Medicine","Beaumont Hospital, Dearborn","27","Female","Arabic English","Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Mark W Sawka","Family Medicine","Beaumont Hospital, Trenton","34","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital/MSU",""
"Tamer N Massarani","Pediatrics","Beaumont Hospital, Royal Oak","38","Male","Arabic English French","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Jurin Boriboon","Pediatrics","Beaumont Hospital, Dearborn","54","Male","English Thai","Newborns Pediatrics Teenagers","Children's Hospital of Michigan",""
"Nicholas E Boggs","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.9 out of 5"
"Kyle Bronsteen","Family Medicine","Beaumont Hospital, Farmington Hills","5","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Western Michigan University Homer Stryker MD School of Medicine","4.8 out of 5"
"Robert R Roman","Pediatrics","Beaumont Hospital, Royal Oak","46","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Matthew J Sebastian","Family Medicine","Beaumont Hospital, Farmington Hills","10","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Nobin J Kottukapally","Family Medicine","Beaumont Hospital, Dearborn","16","Male","English Malayalam","Newborns Pediatrics Teenagers Adults","University of Rochester School of Medicine/Dentistry","4.8 out of 5"
"Shruti Ramakrishna","Family Medicine","Beaumont Hospital, Grosse Pointe","8","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.9 out of 5"
"Pamela Pirzada","Family Medicine","Beaumont Hospital, Royal Oak","23","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Walid A Harb","Internal Medicine","Beaumont Hospital, Dearborn","35","Male","Arabic English","Adults Geriatrics","Wayne State University/DMC","4.8 out of 5"
"Shaker H Haddad","Pediatrics","Beaumont Hospital, Dearborn","44","Male","Arabic English Italian","Newborns Pediatrics Teenagers","St. Joseph Hospital",""
"Mirta T. Soler","Pediatrics","Beaumont Hospital, Farmington Hills","38","Female","English Spanish","Newborns Pediatrics Teenagers","Wayne State University School of Medicine (Michigan)","4.8 out of 5"
"Gary B Langnas","Geriatric Medicine","Beaumont Hospital, Troy","36","Male","English","Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Susan J. Williams","Family Medicine","Beaumont Hospital, Farmington Hills","","Female","English Greek Polish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"My-Trang T Dang","Internal Medicine","Beaumont Hospital, Grosse Pointe","5","Female","English","Teenagers Adults Geriatrics","Authority Health","4.8 out of 5"
"Uma Senthilkumar","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English Hindi Tamil Telugu","Newborns Pediatrics Teenagers Adults Geriatrics","University of Arizona Medical Center (Tucson)","4.6 out of 5"
"Shahina A Motorwala","Internal Medicine","Beaumont Hospital, Dearborn","18","Female","English Gujarati Hindi Marathi Urdu","Adults Geriatrics","St. Joseph Mercy Hospital",""
"Timothy J Lamb","Internal Medicine","Beaumont Hospital, Royal Oak","26","Male","English","Adults Geriatrics","University of Minneapolis Hospital & Clinic",""
"Alyson M Greenwell","Pediatrics","Beaumont Hospital, Farmington Hills","5","Female","English","Newborns Pediatrics Teenagers","Riley Hospital for Children at Indianapolis University Health","4.7 out of 5"
"Joseph L. Williams","Family Medicine","Beaumont Hospital, Farmington Hills","29","Male","English Portuguese Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Jenny L Folcik-Gerken","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Steven T Margolis","Family Medicine","Beaumont Hospital, Troy","34","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Nabil M Metwally","Internal Medicine","Beaumont Hospital, Dearborn","41","Male","Arabic English","Adults Geriatrics","Medical College of Wisconsin School of Medicine",""
"Mary C Ferris","Family Medicine","Beaumont Hospital, Troy","","Female","English","Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Michelle A Stone","Family Medicine","Beaumont Hospital, Grosse Pointe","6","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
